Standard,200V,2A,875mV @ 1A,Fast Recovery =< 500ns* > 200mA (Io),35ns,2µA @ 200V,-,Surface Mount,DO-214AA* SMB,SMB,-65°C ~ 175°C
Standard,600V,1A,1.25V @ 1A,Fast Recovery =< 500ns* > 200mA (Io),50ns,5µA @ 600V,10pF @ 4V* 1MHz,Surface Mount,DO-214AA* SMB,SMB,-55°C ~ 175°C
Standard,1000V,1A,1.7V @ 1A,Fast Recovery =< 500ns* > 200mA (Io),75ns,5µA @ 1000V,10pF @ 4V* 1MHz,Surface Mount,DO-214AC* SMA,SMA,-65°C ~ 150°C
Schottky,40V,3A,500mV @ 3A,Fast Recovery =< 500ns* > 200mA (Io),-,100mA @ 40V,-,Surface Mount,SQ-MELF* B,B* SQ-MELF,-65°C ~ 125°C
Schottky,20V,1A,600mV @ 1A,Fast Recovery =< 500ns* > 200mA (Io),-,1mA @ 20V,-,Surface Mount,DO-214AA* SMB,SMB,-65°C ~ 125°C
Schottky,40V,4A,500mV @ 3A,Fast Recovery =< 500ns* > 200mA (Io),-,2mA @ 40V,-,Surface Mount,DO-214AB* SMC,SMC,-65°C ~ 150°C
Standard,1000V,1A,1.7V @ 1A,Fast Recovery =< 500ns* > 200mA (Io),75ns,10µA @ 1000V,10pF @ 4V* 1MHz,Surface Mount,DO-214AC* SMA,DO-214AC (SMA),-55°C ~ 150°C
Standard,50V,1A,1.1V @ 1A,Standard Recovery >500ns* > 200mA (Io),2µs,5µA @ 50V,-,Through Hole,DO-204AL* DO-41* Axial,DO-41,-55°C ~ 150°C
Standard,600V,1A,1V @ 1A,Standard Recovery >500ns* > 200mA (Io),-,5µA @ 600V,8pF @ 4V* 1MHz,Through Hole,DO-204AL* DO-41* Axial,DO-41,-65°C ~ 150°C
Standard,800V,1A,1V @ 1A,Standard Recovery >500ns* > 200mA (Io),-,5µA @ 800V,8pF @ 4V* 1MHz,Through Hole,DO-204AL* DO-41* Axial,DO-41,-65°C ~ 150°C
Schottky,20V,1A,450mV @ 1A,Fast Recovery =< 500ns* > 200mA (Io),-,1mA @ 20V,110pF @ 4V* 1MHz,Through Hole,DO-204AL* DO-41* Axial,DO-41,-55°C ~ 125°C
Schottky,30V,1A,550mV @ 1A,Fast Recovery =< 500ns* > 200mA (Io),-,1mA @ 30V,-,Through Hole,DO-204AL* DO-41* Axial,DO-41,-55°C ~ 125°C
Schottky,40V,1A,600mV @ 1A,Fast Recovery =< 500ns* > 200mA (Io),-,500µA @ 40V,110pF @ 4V* 1MHz,Through Hole,DO-204AL* DO-41* Axial,DO-41,-65°C ~ 125°C
Standard,800V,3A,1.25V @ 3A,Fast Recovery =< 500ns* > 200mA (Io),500ns,10µA @ 800V,28pF @ 4V* 1MHz,Through Hole,DO-201AD* Axial,DO-201AD,-50°C ~ 125°C
Standard,600V,1A,2.5V @ 1A,Fast Recovery =< 500ns* > 200mA (Io),30ns,5µA @ 600V,-,Through Hole,DO-204AL* DO-41* Axial,DO-204AL (DO-41),-65°C ~ 175°C
Avalanche,1000V,1A,2.5V @ 1A,Fast Recovery =< 500ns* > 200mA (Io),75ns,5µA @ 1000V,-,Through Hole,SOD-57* Axial,SOD-57,-55°C ~ 175°C
Avalanche,400V,3A,1.5V @ 9A,Fast Recovery =< 500ns* > 200mA (Io),100ns,1µA @ 400V,-,Through Hole,SOD-64* Axial,SOD-64,-55°C ~ 175°C
Standard,200V,1A,1.4V @ 1A,Fast Recovery =< 500ns* > 200mA (Io),400ns,10µA @ 200V,-,Through Hole,Axial,-,-40°C ~ 150°C
Standard,100V,200mA,1V @ 10mA,Small Signal =< 200mA (Io)* Any Speed,4ns,25nA @ 20V,4pF @ 0V* 1MHz,Surface Mount,DO-213AC* MINI-MELF* SOD-80,SOD-80,-55°C ~ 175°C
Schottky,40V,500mA,550mV @ 500mA,Fast Recovery =< 500ns* > 200mA (Io),5ns,100µA @ 35V,60pF @ 0V* 1MHz,Surface Mount,TO-236-3* SC-59* SOT-23-3,Mini3-G1,125°C (Max)
Standard,600V,4A,1.28V @ 4A,Fast Recovery =< 500ns* > 200mA (Io),75ns,10µA @ 600V,-,Through Hole,DO-201AA* DO-27* Axial,DO-201AD,-65°C ~ 175°C
Standard,600V,8A,1.5V @ 8A,Fast Recovery =< 500ns* > 200mA (Io),60ns,10µA @ 600V,-,Through Hole,TO-220-2,TO-220AC,-65°C ~ 175°C
Standard,1200V,15A,3.2V @ 15A,Fast Recovery =< 500ns* > 200mA (Io),75ns,100µA @ 1200V,-,Through Hole,TO-220-2,TO-220AC,-65°C ~ 175°C
Standard,400V,1A,1.3V @ 1A,Fast Recovery =< 500ns* > 200mA (Io),150ns,5µA @ 400V,6.6pF @ 4V* 1MHz,Through Hole,MPG06* Axial,MPG06,-55°C ~ 150°C
Standard,600V,1A,1.3V @ 1A,Fast Recovery =< 500ns* > 200mA (Io),200ns,5µA @ 600V,6.6pF @ 4V* 1MHz,Through Hole,MPG06* Axial,MPG06,-55°C ~ 150°C
Standard,1000V,1A,1.1V @ 1A,Standard Recovery >500ns* > 200mA (Io),1µs,5µA @ 1000V,15pF @ 4V* 1MHz,Surface Mount,SOD-123F,SOD-123FL,-65°C ~ 175°C
Standard,1000V,1A,1.1V @ 1A,Standard Recovery >500ns* > 200mA (Io),1µs,5µA @ 1000V,15pF @ 4V* 1MHz,Surface Mount,SOD-123F,SOD-123FL,-65°C ~ 175°C
Standard,125V,200mA,1V @ 200mA,Small Signal =< 200mA (Io)* Any Speed,-,1nA @ 125V,6pF @ 0V* 1MHz,Through Hole,DO-204AH* DO-35* Axial,DO-35,175°C (Max)
Standard,125V,200mA,1.15V @ 300mA,Small Signal =< 200mA (Io)* Any Speed,-,3nA @ 125V,6pF @ 0V* 1MHz,Through Hole,DO-204AH* DO-35* Axial,DO-35,175°C (Max)
Standard,125V,200mA,1V @ 200mA,Small Signal =< 200mA (Io)* Any Speed,-,1nA @ 125V,6pF @ 0V* 1MHz,Surface Mount,DO-213AC* MINI-MELF* SOD-80,SOD-80,175°C (Max)
Standard,600V,16A,1.5V @ 16A,Fast Recovery =< 500ns* > 200mA (Io),50ns,10µA @ 600V,-,Through Hole,TO-220-2,TO-220AC,-65°C ~ 150°C
Standard,600V,6A,900mV @ 6A,Standard Recovery >500ns* > 200mA (Io),2.5µs,5µA @ 600V,150pF @ 4V* 1MHz,Through Hole,P600* Axial,P600,-50°C ~ 150°C
Standard,4000V,250mA,3V @ 1A,Standard Recovery >500ns* > 200mA (Io),2µs,5µA @ 4000V,-,Through Hole,DO-204AL* DO-41* Axial,DO-204AL (DO-41),-65°C ~ 175°C
Standard,400V,2A,1.25V @ 2A,Fast Recovery =< 500ns* > 200mA (Io),50ns,5µA @ 400V,45pF @ 4V* 1MHz,Through Hole,DO-204AC* DO-15* Axial,DO-15,-65°C ~ 150°C
Standard,400V,3A,1.3V @ 3A,Fast Recovery =< 500ns* > 200mA (Io),50ns,10µA @ 400V,60pF @ 4V* 1MHz,Through Hole,DO-201AD* Axial,DO-201AD,-55°C ~ 150°C
Standard,1200V,16A (DC),3.93V @ 32A,Fast Recovery =< 500ns* > 200mA (Io),135ns,20µA @ 1.2kV,-,Through Hole,TO-220-2,TO-220AC,-55°C ~ 150°C
