2 N-Channel (Dual),Standard,30V,4.9A,50 mOhm @ 2.4A* 10V,1V @ 250µA,25nC @ 10V,520pF @ 25V,2W,-55°C ~ 150°C (TJ),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SO
N and P-Channel,Logic Level Gate,20V,5.2A* 4.3A,50 mOhm @ 2.6A* 4.5V,700mV @ 250µA,20nC @ 4.5V,660pF @ 15V,2W,-55°C ~ 150°C (TJ),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SO
N and P-Channel,Logic Level Gate,20V,6.6A* 5.3A,29 mOhm @ 6A* 4.5V,700mV @ 250µA,27nC @ 4.5V,900pF @ 15V,2W,-55°C ~ 150°C (TJ),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SO
2 N-Channel (Dual),Standard,20V,2.7A,80 mOhm @ 2.7A* 4.5V,1.5V @ 250µA,5nC @ 4.5V,310pF @ 10V,700mW,-55°C ~ 150°C (TJ),Surface Mount,SOT-23-6 Thin* TSOT-23-6,SuperSOT™-6
N and P-Channel,Logic Level Gate,20V,2.7A* 1.9A,80 mOhm @ 2.7A* 4.5V,1.5V @ 250µA,4.5nC @ 4.5V,325pF @ 10V,700mW,-55°C ~ 150°C (TJ),Surface Mount,SOT-23-6 Thin* TSOT-23-6,SuperSOT™-6
N and P-Channel,Logic Level Gate,20V,3A* 2.2A,70 mOhm @ 3A* 4.5V,1.5V @ 250µA,4.6nC @ 4.5V,324pF @ 10V,700mW,-55°C ~ 150°C (TJ),Surface Mount,SOT-23-6 Thin* TSOT-23-6,SuperSOT™-6
2 P-Channel (Dual),Logic Level Gate,30V,1.8A,170 mOhm @ 1.8A* 10V,3V @ 250µA,3.5nC @ 10V,190pF @ 15V,700mW,-55°C ~ 150°C (TJ),Surface Mount,SOT-23-6 Thin* TSOT-23-6,SuperSOT™-6
2 N-Channel (Dual),Logic Level Gate,30V,2.5A,95 mOhm @ 2.5A* 10V,3V @ 250µA,3.2nC @ 5V,220pF @ 15V,700mW,-55°C ~ 150°C (TJ),Surface Mount,SOT-23-6 Thin* TSOT-23-6,SuperSOT™-6
N and P-Channel,Logic Level Gate,40V,9A* 6.5A,24 mOhm @ 9A* 10V,3V @ 250µA,20nC @ 10V,1000pF @ 20V,1.3W,-55°C ~ 150°C (TJ),Surface Mount,TO-252-5* DPak (4 Leads + Tab)* TO-252AD,TO-252-4L
2 P-Channel (Dual),Logic Level Gate,20V,3A,120 mOhm @ 3A* 4.5V,1.3V @ 250µA,6nC @ 4.5V,435pF @ 10V,800mW,-55°C ~ 150°C (TJ),Surface Mount,6-VDFN Exposed Pad,6-MicroFET (2x2)
2 N-Channel (Dual),Logic Level Gate,80V,4.7A,44 mOhm @ 4.7A* 10V,4V @ 250µA,35nC @ 10V,1180pF @ 40V,900mW,-55°C ~ 175°C (TJ),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SO
N and P-Channel,Logic Level Gate,30V* 20V,9.3A* 5.6A,18 mOhm @ 9.3A* 10V,3V @ 250µA,27nC @ 4.5V,1958pF @ 10V,1W,-55°C ~ 150°C (TJ),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SO
2 P-Channel (Dual),Logic Level Gate,30V,6.9A,22 mOhm @ 6.9A* 10V,3V @ 250µA,40nC @ 10V,1360pF @ 15V,900mW,-55°C ~ 150°C (TJ),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SO
2 N-Channel (Dual),Logic Level Gate,30V,6.9A* 8.2A,27 mOhm @ 6.9A* 10V,3V @ 250µA,15nC @ 10V,600pF @ 15V,900mW,-55°C ~ 150°C (TJ),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SO
2 N-Channel (Dual),Logic Level Gate,30V,6A,28 mOhm @ 6A* 10V,3V @ 250µA,8.1nC @ 5V,575pF @ 15V,900mW,-55°C ~ 150°C (TJ),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SO
2 N-Channel (Dual),Logic Level Gate,30V,7.5A,18 mOhm @ 7.5A* 10V,3V @ 250µA,17nC @ 5V,1235pF @ 15V,900mW,-55°C ~ 150°C (TJ),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SO
2 N-Channel (Dual),Standard,100V,2.7A,105 mOhm @ 2.7A* 10V,2.2V @ 250µA,5.3nC @ 10V,302pF @ 50V,1.6W,-55°C ~ 150°C (TJ),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SO
2 N-Channel (Dual),Logic Level Gate,20V,6.5A,30 mOhm @ 6.5A* 4.5V,1.5V @ 250µA,9nC @ 4.5V,650pF @ 10V,900mW,-55°C ~ 150°C (TJ),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SO
2 N-Channel (Dual),Logic Level Gate,60V,3.5A,100 mOhm @ 3.5A* 10V,3V @ 250µA,13nC @ 5V,420pF @ 30V,1W,-55°C ~ 175°C (TJ),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SO
N and P-Channel,Logic Level Gate,20V,6A* 4.4A,18 mOhm @ 6A* 4.5V,1.5V @ 250µA,20nC @ 4.5V,1325pF @ 10V,600mW,-55°C ~ 150°C (TJ),Surface Mount,"8-TSSOP (0.173""* 4.40mm Width)",8-TSSOP
