16,1,50mW,2.7 V ~ 5.25 V,2.7 V ~ 5.25 V,20-SSOP (0.209"* 5.30mm Width),20-SSOP,
16,1,50mW,2.7 V ~ 5.25 V,2.7 V ~ 5.25 V,20-SSOP (0.209"* 5.30mm Width),20-SSOP,
19,4,-,3.15 V ~ 5.5 V,1.71 V ~ 1.89 V,64-LQFP,64-LQFP (10x10),
19,5,-,3.15 V ~ 5.5 V,1.71 V ~ 1.89 V,64-LQFP,64-LQFP (10x10),
24,3,-,2.7 V ~ 5.5 V,1.65 V ~ 3.6 V,28-WFQFN Exposed Pad,28-WQFN (5x5),
16,64,175mW,3.2 V ~ 3.6 V,3.2 V ~ 3.6 V,128-LQFP,128-LQFP (14x14),
22,1,2.84mW,2 V ~ 3.6 V,2 V ~ 3.6 V,40-VFQFN Exposed Pad,40-VQFN (6x6),
22,1,-,2 V ~ 3.6 V,2 V ~ 3.6 V,40-VFQFN Exposed Pad,40-VQFN (6x6),
8,1,-,2.7 V ~ 5.25 V,2.7 V ~ 5.25 V,14-WFDFN Exposed Pad,14-WSON (4x4),
24,2,740µW,2.7 V ~ 5.25 V,1.7 V ~ 3.6 V,32-TQFP,32-TQFP (5x5),
24,1,125mW,5V,2.7 V ~ 5.25 V,24-SOIC (0.295"* 7.50mm Width),24-SOIC,
24,1,-,5V,2.7 V ~ 5.25 V,32-VFQFN Exposed Pad* CSP,32-LFCSP-VQ (5x5),
24,1,125mW,5V,2.7 V ~ 5.25 V,24-TSSOP (0.173"* 4.40mm Width),24-TSSOP,
24,1,125mW,5V,2.7 V ~ 5.25 V,24-TSSOP (0.173"* 4.40mm Width),24-TSSOP,
24,2,740µW,2.7 V ~ 5.25 V,1.7 V ~ 3.6 V,32-TQFP,32-TQFP (5x5),
24,4,10.1mW,2.7 V ~ 5.5 V,1.65 V ~ 3.6 V,64-TQFP,64-TQFP (10x10),
24,8,14.1mW,2.7 V ~ 5.5 V,1.65 V ~ 3.6 V,64-TQFP,64-TQFP (10x10),
24,8,42mW,5V,1.8 V ~ 3.6 V,64-TQFP,64-TQFP (10x10),
16,1,50mW,2.7 V ~ 5.25 V,2.7 V ~ 5.25 V,20-SSOP (0.209"* 5.30mm Width),20-SSOP,
24,1,125mW,5V,2.7 V ~ 5.25 V,24-SOIC (0.295"* 7.50mm Width),24-SOIC,
24,1,125mW,5V,2.7 V ~ 5.25 V,24-DIP (0.300"* 7.62mm),24-PDIP,
24,8,42mW,5V,1.8 V ~ 3.6 V,64-TQFP,64-TQFP (10x10),
24,8,14.1mW,2.7 V ~ 5.5 V,1.65 V ~ 3.6 V,64-TQFP,64-TQFP (10x10),
14,1,385mW,5V,3.15 V ~ 5.25 V,48-BSSOP (0.295"* 7.50mm Width),48-SSOP,
16,4,5.7mW,2.7 V ~ 5.25 V,1.65 V ~ 3.6 V,64-TQFP,64-TQFP (10x10),
24,1,125mW,5V,2.7 V ~ 5.25 V,24-DIP (0.300"* 7.62mm),24-PDIP,
24,8,14.1mW,2.7 V ~ 5.5 V,1.65 V ~ 3.6 V,64-TQFP,64-TQFP (10x10),
14,1,385mW,5V,3.15 V ~ 5.25 V,48-BSSOP (0.295"* 7.50mm Width),48-SSOP,
