24,470,3,Differential,SPI* DSP,MUX-ADC,-,1,Sigma-Delta,External* Internal,2.7 V ~ 5.25 V,2.7 V ~ 5.25 V,PGA,-40°C ~ 105°C,"16-TSSOP (0.173""* 4.40mm Width)",16-TSSOP
24,80,2,Differential* Single Ended,SPI,MUX-PGA-ADC,-,1,Sigma-Delta,External,2.7 V ~ 5.3 V,2.7 V ~ 5.3 V,PGA,-40°C ~ 105°C,"24-TSSOP (0.173""* 4.40mm Width)",24-TSSOP
24,3.84k,2,Differential,SPI,MUX-PGA-ADC,-,1,Sigma-Delta,External,±3V* 0 V ~ 5 V,3 V ~ 5 V,PGA* Selectable Address,-40°C ~ 85°C,"20-SSOP (0.209""* 5.30mm Width)",20-SSOP
16,500,2,Differential,SPI* DSP,MUX-PGA-ADC,-,1,Sigma-Delta,External,2.7 V ~ 3.3 V* 5V,2.7 V ~ 3.3 V* 5V,PGA,-40°C ~ 85°C,"16-TSSOP (0.173""* 4.40mm Width)",16-TSSOP
24,1k,3* 5,Differential* Pseudo-Differential,SPI* DSP,MUX-PGA-ADC,-,1,Sigma-Delta,External,5V,3 V ~ 5.25 V,PGA,-40°C ~ 85°C,"24-SOIC (0.295""* 7.50mm Width)",24-SOIC
8,10k,1,Differential,Parallel,ADC,-,1,SAR,External* Supply,4.5 V ~ 6.3 V,4.5 V ~ 6.3 V,-,0°C ~ 70°C,"20-DIP (0.300""* 7.62mm)",20-DIP
8,-,1,Pseudo-Differential* Single Ended,Parallel,S/H-ADC,1:01,1,Flash,External,4.5 V ~ 8 V,4.5 V ~ 8 V,-,0°C ~ 70°C,"20-DIP (0.300""* 7.62mm)",20-PDIP
8,31.25k,1,Differential* Pseudo-Differential* Single Ended,SPI,MUX-ADC,-,1,SAR,External,4.5 V ~ 6.3 V,4.5 V ~ 6.3 V,-,-40°C ~ 85°C,"8-DIP (0.300""* 7.62mm)",8-PDIP
20,80,1,Differential* Single Ended,SPI,PGA-ADC,-,1,Sigma-Delta,External,2.7 V ~ 5.3 V,2.7 V ~ 5.3 V,PGA,-40°C ~ 85°C,"16-TSSOP (0.173""* 4.40mm Width)",16-TSSOP
12,200k,1,Differential,SPI,S/H-ADC,1:01,1,SAR,External,5V,5V,-,-40°C ~ 85°C,"8-DIP (0.300""* 7.62mm)",8-PDIP
16,500k,1,Differential,SPI,S/H-ADC,1:01,1,SAR,External,2.375 V ~ 2.625 V,2.375 V ~ 2.625 V,-,-40°C ~ 125°C,"16-TFSOP (0.118""* 3.00mm Width)",16-MSOP
12,100k,1,Single Ended,Parallel,S/H-ADC,1:01,1,SAR,External* Internal,±11.4 V ~ 16.5 V,5V,-,-40°C ~ 85°C,"28-SOIC (0.295""* 7.50mm Width)",28-SOIC
