DTMF Transceiver,-,1,4.75 V ~ 5.25 V,7mA,-,-40°C ~ 85°C,Surface Mount,"20-SOIC (0.295""* 7.50mm Width)",20-SOIC,
Data Access Arrangement (DAA),-,1,3 V ~ 5.5 V,10mA,1W,0°C ~ 85°C,Surface Mount,"32-SOIC (0.295""* 7.50mm Width)",32-SOIC,
Data Access Arrangement (DAA),-,1,3 V ~ 5.5 V,9mA,1W,-40°C ~ 85°C,Surface Mount,"32-SOIC (0.295""* 7.50mm Width)",32-SOIC,
Phone Line Monitor (PLM),-,1,3 V ~ 5.5 V,10mA,300mW,-40°C ~ 85°C,Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC,
Phone Line Monitor with Detectors (PLMD),-,1,3 V ~ 5.5 V,1.72mA,50mW,-40°C ~ 85°C,Surface Mount,"16-SSOP (0.154""* 3.90mm Width)",16-SOP,
Line Card Access Switch,-,1,4.5 V ~ 5.5 V,700µA,10.5W,-40°C ~ 110°C,Surface Mount,"28-SOIC (0.295""* 7.50mm Width)",28-SOIC,
Single-Chip Transceiver,E1* HDLC,1,3.14 V ~ 3.47 V,75mA,-,-40°C ~ 85°C,Surface Mount,100-LQFP,100-LQFP (14x14),
Elastic Store,PCM,1,4.5 V ~ 5.5 V,9mA,-,-40°C ~ 85°C,Through Hole,"16-DIP (0.300""* 7.62mm)",16-PDIP,
Subscriber Line Concept (SLIC),2-Wire,2,4.75 V ~ 5.25 V,-,-,-40°C ~ 85°C,Surface Mount,44-TQFP Exposed Pad,44-TQFP-EP (10x10),
Subscriber Line Concept (SLIC),PCM,4,3.3V,-,-,-40°C ~ 85°C,Surface Mount,44-LCC (J-Lead),44-PLCC (16.58x16.58),
Subscriber Line Concept (SLIC),PCM,4,3.3V,-,-,-40°C ~ 85°C,Surface Mount,64-LQFP,64-LQFP (14x14),
Switch,-,1,4.5 V ~ 5.5 V,-,-,-40°C ~ 85°C,Surface Mount,"16-SOIC (0.295""* 7.50mm Width)",16-SOIC,
Switch,-,1,4.5 V ~ 5.5 V,-,-,-40°C ~ 85°C,Surface Mount,"16-SOIC (0.295""* 7.50mm Width)",16-SOIC,
Voice-Switched Speakerphone,-,1,5.4V,9mA,100mW,-20°C ~ 60°C,Surface Mount,"28-SOIC (0.295""* 7.50mm Width)",28-SOIC,
DTMF Receiver,-,1,4.75 V ~ 5.25 V,3mA,-,-40°C ~ 85°C,Through Hole,"18-DIP (0.300""* 7.62mm)",18-PDIP,
DTMF Receiver,-,1,4.75 V ~ 5.25 V,3mA,-,-40°C ~ 85°C,Surface Mount,"18-SOIC (0.295""* 7.50mm Width)",18-SOIC,
DTMF Transceiver,-,1,4.75 V ~ 5.25 V,7mA,-,-40°C ~ 85°C,Surface Mount,"20-SOIC (0.295""* 7.50mm Width)",20-SOIC,
Telecom Circuit,3-Wire,1,2.7 V ~ 5.5 V,4.7mA,-,-40°C ~ 85°C,Surface Mount,"24-SOIC (0.295""* 7.50mm Width)",24-SOIC,
Telecom Circuit,3-Wire,1,2.7 V ~ 5.5 V,4.3mA,-,-40°C ~ 85°C,Surface Mount,"20-SOIC (0.295""* 7.50mm Width)",20-SOIC,
Digital Phase Locked Loop,-,1,4.5 V ~ 5.5 V,60mA,-,-40°C ~ 85°C,Surface Mount,28-LCC (J-Lead),28-PLCC,
Transceiver,-,1,3 V ~ 3.6 V,85mA,-,-40°C ~ 85°C,Surface Mount,68-LCC (J-Lead),68-PLCC (24.23x24.23),
Subscriber Line Concept (SLIC),-,1,4.75 V ~ 5.25 V,10mA,-,-40°C ~ 85°C,Surface Mount,"24-SSOP (0.209""* 5.30mm Width)",24-SSOP,
Subscriber Line Concept (SLIC),-,1,5V,2.8mA,290mW,-40°C ~ 85°C,Surface Mount,"24-SOIC (0.295""* 7.50mm Width)",PG-DSO-24,
Dual Channel Subscriber Line Circuit (DuSLIC),IOM-2* PCM,2,3.3V,105mA,-,0°C ~ 70°C,Surface Mount,64-LQFP,P-TQFP-64,
Single-Chip IP-Phone Solution,-,-,-,-,-,-,Surface Mount,324-LBGA,PG-LBGA-324-3,
