Window,2,Open Drain,1.8 V ~ 18 V,-,-,-,11µA,-,29µs,5.5mV,-40°C ~ 125°C,SOT-23-6 Thin* TSOT-23-6,Surface Mount,TSOT-23-6
General Purpose,1,DTL* MOS* Open-Collector* Open-Emitter* RTL* TTL,5 V ~ 36 V* ±2.5 V ~ 18 V,7.5mV @ ±15V,0.25µA @ ±15V,50mA,7.5mA,-,-,-,0°C ~ 70°C,"8-DIP (0.300""* 7.62mm)",Through Hole,8-PDIP
Differential,4,CMOS* MOS* Open-Collector* TTL,2 V ~ 30 V* ±1 V ~ 15 V,5mV @ 30V,0.25µA @ 5V,20mA,2.5mA,-,-,-,0°C ~ 70°C,"14-DIP (0.300""* 7.62mm)",Through Hole,14-PDIP
Differential,2,CMOS* MOS* Open-Drain* TTL,2 V ~ 36 V* ±1 V ~ 18 V,5mV @ 30V,0.25µA @ 5V,20mA,2.5mA,-,-,-,0°C ~ 70°C,"8-SOIC (0.154""* 3.90mm Width)",Surface Mount,8-SOIC
General Purpose,2,CMOS* DTL* ECL* MOS* Open-Collector* TTL,2 V ~ 36 V* ±1 V ~ 18 V,5mV @ 30V,0.25µA @ 5V,18mA @ 5V,2.5mA,-,-,-,0°C ~ 70°C,"8-TSSOP (0.173""* 4.40mm Width)",Surface Mount,8-TSSOP
Differential,2,-,2 V ~ 36 V* ±1 V ~ 18 V,5mV @ 5V,0.25µA @ 5V,18mA @ 5V,2.5mA,-,-,-,0°C ~ 70°C,"8-DIP (0.300""* 7.62mm)",Through Hole,8-DIP
Differential,4,CMOS* MOS* Open-Collector* TTL,2 V ~ 30 V* ±1 V ~ 15 V,5mV @ 30V,0.25µA @ 5V,20mA,2.5mA,-,-,-,0°C ~ 70°C,"14-SOIC (0.154""* 3.90mm Width)",Surface Mount,14-SOIC
Differential,2,CMOS* MOS* Open-Drain* TTL,2 V ~ 36 V* ±1 V ~ 18 V,7mV @ 30V,0.25µA @ 5V,20mA,2.5mA,-,-,-,-40°C ~ 125°C,"8-TSSOP* 8-MSOP (0.118""* 3.00mm Width)",Surface Mount,8-VSSOP
General Purpose,4,CMOS* DTL* ECL* MOS* Open-Collector* TTL,2 V ~ 36 V* ±1 V ~ 18 V,5mV @ 30V,0.1µA @ 5V,16mA @ 5V,2.5mA,-,-,-,-55°C ~ 125°C,"14-CDIP (0.300""* 7.62mm)",Through Hole,14-CDIP
General Purpose,1,DTL* MOS* Open-Collector* Open-Emitter* RTL* TTL,5 V ~ 36 V* ±2.5 V ~ 18 V,7.5mV @ ±15V,0.25µA @ ±15V,-,7.5mA,-,-,-,0°C ~ 70°C,TO-99-8 Metal Can,Through Hole,TO-99-8
General Purpose,1,CMOS* Complementary* TTL,3 V ~ 10 V* ±1.5 V ~ 5 V,7mV @ 5V,6µA @ 5V,-,6mA* 3.3mA* 5.5mA,85dB CMRR* 65dB PSRR,9.8ns,-,-40°C ~ 85°C,"8-SOIC (0.154""* 3.90mm Width)",Surface Mount,8-SOIC
General Purpose,1,CMOS* Complementary* TTL,3 V ~ 10 V* ±1.5 V ~ 5 V,7mV @ 5V,6µA @ 5V,-,6mA* 3.3mA* 5.5mA,85dB CMRR* 65dB PSRR,9.8ns,-,-40°C ~ 85°C,"8-DIP (0.300""* 7.62mm)",Through Hole,8-PDIP
Differential,2,Complementary* TTL,±5 V ~ 15 V,5mV @ 5V,10µA @ 5V,-,5mA* 10mA* 20mA,-,20ns,-,0°C ~ 70°C,"14-DIP (0.300""* 7.62mm)",Through Hole,14-DIP
General Purpose,1,CMOS* Open-Collector* TTL,5 V ~ 30 V* ±2.5 V ~ 15 V,7mV @ 30V,0.25µA @ 5V,13mA @ 5V,2mA,-,940µs,-,-40°C ~ 85°C,SC-74A* SOT-753,Surface Mount,SOT-23-5
General Purpose,1,Open Collector,3 V ~ 36 V* ±1.5 V ~ 18 V,0.75mV @ ±15V,0.035µA @ ±15V,50mA,4mA,115dB CMRR,-,-,-40°C ~ 85°C,"8-SOIC (0.154""* 3.90mm Width)",Surface Mount,8-SOIC
with Latch,1,CMOS* Complementary* TTL,-,3mV @ ±5V,10µA @ ±5V,20mA,35mA,96dB CMRR* 75dB PSRR,14ns,-,0°C ~ 70°C,"8-SOIC (0.154""* 3.90mm Width)",Surface Mount,8-SOIC
with Latch,2,Complementary* ECL* Open-Emitter,-,2mV @ -5.2V* 5V,10µA @ -5.2V*5V,30mA,18mA*36mA,90dB CMRR* 70dB PSRR,3.5ns,-,-25°C ~ 85°C,"16-SOIC (0.154""* 3.90mm Width)",Surface Mount,16-SOIC
General Purpose,4,CMOS* Rail-to-Rail* TTL,2.7 V ~ 6 V,3mV @ 5V,6µA @ 5V,20mA,7mA,70dB CMRR* 80dB PSRR,10ns,7mV,0°C ~ 70°C,"16-SOIC (0.154""* 3.90mm Width)",Surface Mount,16-SOIC
Differential,2,CMOS* MOS* Open-Drain* TTL,2 V ~ 36 V* ±1 V ~ 18 V,7mV @ 30V,0.25µA @ 5V,20mA,2.5mA,-,-,-,-40°C ~ 125°C,"8-SOIC (0.154""* 3.90mm Width)",Surface Mount,8-SOIC
Differential,2,CMOS* MOS* Open-Drain* TTL,2 V ~ 36 V* ±1 V ~ 18 V,5mV @ 30V,0.25µA @ 5V,20mA,2.5mA,-,-,-,-25°C ~ 85°C,"8-SOIC (0.154""* 3.90mm Width)",Surface Mount,8-SOIC
General Purpose,2,CMOS* DTL* ECL* MOS* Open-Collector* TTL,2 V ~ 36 V* ±1 V ~ 18 V,5mV @ 30V,0.25µA @ 5V,18mA @ 5V,2.5mA,-,-,-,-40°C ~ 105°C,"8-TSSOP (0.173""* 4.40mm Width)",Surface Mount,8-TSSOP
General Purpose,1,Complementary* Push-Pull* TTL,5 V ~ 10 V* ±2.5 V ~ 5 V,3mV @ ±5V,1.1µA @ ±5V,20mA,14.7mA,100dB CMRR,12ns,-,0°C ~ 70°C,"8-SOIC (0.154""* 3.90mm Width)",Surface Mount,8-SOIC
General Purpose,1,CMOS* Complementary* TTL,3 V ~ 10 V* ±1.5 V ~ 5 V,7mV @ 5V,6µA @ 5V,-,6mA* 3.3mA* 5.5mA,85dB CMRR* 65dB PSRR,9.8ns,-,-40°C ~ 85°C,"8-SOIC (0.154""* 3.90mm Width)",Surface Mount,8-SOIC
