OTP,440kb,3 V ~ 3.6 V* 4.75 V ~ 5.25 V,0°C ~ 70°C,20-LCC (J-Lead),20-PLCC (9x9)
OTP,1Mb,3 V ~ 3.6 V* 4.75 V ~ 5.25 V,0°C ~ 70°C,"8-DIP (0.300""* 7.62mm)",8-PDIP
OTP,1Mb,3 V ~ 3.6 V* 4.75 V ~ 5.25 V,0°C ~ 70°C,"8-DIP (0.300""* 7.62mm)",8-PDIP
In System Programmable,1.6Mb,3 V ~ 3.6 V* 4.5 V ~ 5.5 V,-40°C ~ 85°C,20-LCC (J-Lead),20-PLCC (9x9)
In System Programmable,1.6Mb,3 V ~ 3.6 V* 4.75 V ~ 5.25 V,0°C ~ 70°C,32-TQFP,32-TQFP (7x7)
In System Programmable,1Mb,2.7 V ~ 3.6 V,-40°C ~ 85°C,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
In System Programmable,4MB,2.7 V ~ 3.6 V,-40°C ~ 85°C,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
In System Programmable,4MB,2.7 V ~ 3.6 V,-40°C ~ 85°C,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
In System Programmable,64Mb,2.7 V ~ 3.6 V,-40°C ~ 85°C,"16-SOIC (0.295""* 7.50mm Width)",16-SOIC
Serial EEPROM,1Mb,3 V ~ 3.6 V* 4.5 V ~ 5.5 V,-40°C ~ 85°C,"8-DIP (0.300""* 7.62mm)",8-PDIP
In System Programmable,4Mb,3 V ~ 3.6 V,-40°C ~ 85°C,44-LCC (J-Lead),44-PLCC (16.59x16.59)
In System Programmable,4Mb,3 V ~ 3.6 V,-40°C ~ 85°C,44-TQFP,44-VQFP (10x10)
In System Programmable,4Mb,3 V ~ 3.6 V,-40°C ~ 85°C,"20-TSSOP (0.173""* 4.40mm Width)",20-TSSOP
In System Programmable,8Mb,1.65 V ~ 2 V,-40°C ~ 85°C,48-TFBGA* CSPBGA,48-CSP (8x9)
In System Programmable,8Mb,1.65 V ~ 2 V,-40°C ~ 85°C,"48-TFSOP (0.724""* 18.40mm Width)",48-TSOP
In System Programmable,16Mb,1.65 V ~ 2 V,-40°C ~ 85°C,48-TFBGA* CSPBGA,48-CSP (8x9)
In System Programmable,32Mb,1.65 V ~ 2 V,-40°C ~ 85°C,"48-TFSOP (0.724""* 18.40mm Width)",48-TSOP
In System Programmable,2Mb,3 V ~ 3.6 V,-40°C ~ 85°C,"20-TSSOP (0.173""* 4.40mm Width)",20-TSSOP
In System Programmable,4Mb,3 V ~ 3.6 V,-40°C ~ 85°C,"20-TSSOP (0.173""* 4.40mm Width)",20-TSSOP
FLASH,4Mb,2.97 V ~ 3.63 V,-40°C ~ 85°C,8-TDFN,8-LAP (6x6)
OTP,65kb,4.5 V ~ 5.5 V,0°C ~ 70°C,20-LCC (J-Lead),20-PLCC (9x9)
In System Programmable,128Mb,2.7 V ~ 3.6 V,-40°C ~ 85°C,"16-SOIC (0.295""* 7.50mm Width)",16-SOIC
In System Programmable,16Mb,2.7 V ~ 3.6 V,-40°C ~ 85°C,"16-SOIC (0.295""* 7.50mm Width)",16-SOIC
In System Programmable,16Mb,2.7 V ~ 3.6 V,-40°C ~ 85°C,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
