LED,7 Segment,BCD,-,7mA,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,"16-DIP (0.300""* 7.62mm)",16-PDIP
LED,7 Segment,BCD,-,40nA,3 V ~ 18 V,-55°C ~ 125°C,Through Hole,"16-DIP (0.300""* 7.62mm)",16-PDIP
LCD,7 Segment,BCD,1 Digit,40nA,3 V ~ 18 V,-55°C ~ 125°C,Through Hole,"16-DIP (0.300""* 7.62mm)",16-PDIP
LED* LCD,7 Segment,BCD,-,-,3 V ~ 15 V,-40°C ~ 125°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width)",16-SO
LED,7 Segment,BCD,1 Digit,8µA,2 V ~ 6 V,-55°C ~ 125°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width)",16-SOIC
LED* LCD,7 Segment,BCD,-,-,2 V ~ 6 V,-40°C ~ 125°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width)",16-SO
LED,7 Segment,BCD,-,7mA,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width)",16-SOIC
LCD,7 Segment,BCD,1 Digit,40nA,3 V ~ 18 V,-55°C ~ 125°C,Through Hole,"16-DIP (0.300""* 7.62mm)",16-PDIP
LED,7 Segment,BCD,-,7mA,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width)",16-SOIC
LCD,7 Segment + DP* Alphanumeric and Bar Graph,Serial,4.5 Digits,40µA,3 V ~ 10 V,-40°C ~ 85°C,Surface Mount,44-LCC (J-Lead),44-PLCC (16.58x16.58)
LED,7 Segment,BCD,-,-,3 V ~ 20 V,-55°C ~ 125°C,Through Hole,"16-DIP (0.300""* 7.62mm)",16-DIP
LED,7 Segment,BCD,-,-,3 V ~ 20 V,-55°C ~ 125°C,Through Hole,"16-DIP (0.300""* 7.62mm)",16-DIP
LCD,4 Segment,-,-,-,3 V ~ 20 V,-55°C ~ 125°C,Through Hole,"16-DIP (0.300""* 7.62mm)",16-DIP
LED,7 Segment,-,A/D 3.5 Digits,800µA,5V,0°C ~ 70°C,Through Hole,"40-DIP (0.600""* 15.24mm)",40-PDIP
LED* LCD,7 Segment,BCD,A/D 4.5 Digits,1.1mA,4 V ~ 6 V,0°C ~ 70°C,Surface Mount,28-LCC (J-Lead),28-PLCC (11.51x11.51)
LED,7 Segment,-,A/D 3.5 Digits,800µA,-,0°C ~ 75°C,Through Hole,"40-DIP (0.600""* 15.24mm)",
LED,7 Segment,-,A/D 3.5 Digits,800µA,5V,0°C ~ 70°C,Through Hole,"40-DIP (0.600""* 15.24mm)",40-PDIP
