 *, *, *,1pF,0,0,Samsung Electronics,CAP CER1pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,2,
 *, *, *,39pF,0,0,Samsung Electronics,CAP CER39pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,3,
 *, *, *,22nF,0,0,Samsung Electronics,CAP CER22nF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,4,
 *, *, *,15nF,0,0,Samsung Electronics,CAP CER15nF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,5,
 *, *, *,24pF,0,0,Samsung Electronics,CAP CER24pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,6,
 *, *, *,4.7pF,0,0,Samsung Electronics,CAP CER4.7pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,7,
 *, *, *,3.9pF,0,0,Samsung Electronics,CAP CER3.9pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,8,
 *, *, *,12pF,0,0,Samsung Electronics,CAP CER12pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,9,
 *, *, *,8.2pF,0,0,Samsung Electronics,CAP CER8.2pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,10,
 *, *, *,560pF,0,0,Samsung Electronics,CAP CER560pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,11,
 *, *, *,470nF,0,0,Samsung Electronics,CAP CER470nF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,12,
 *, *, *,180pF,0,0,Samsung Electronics,CAP CER180pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,13,
 *, *, *,820pF,0,0,Samsung Electronics,CAP CER820pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,14,
 *, *, *,5pF,0,0,Samsung Electronics,CAP CER5pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,15,
 *, *, *,330nF,0,0,Samsung Electronics,CAP CER330nF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,16,
 *, *, *,5.6pF,0,0,Samsung Electronics,CAP CER5.6pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,17,
 *, *, *,560nF,0,0,Samsung Electronics,CAP CER560nF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,18,
 *, *, *,27pF,0,0,Samsung Electronics,CAP CER27pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,19,
 *, *, *,9pF,0,0,Samsung Electronics,CAP CER9pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,20,
 *, *, *,6.8pF,0,0,Samsung Electronics,CAP CER6.8pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,21,
 *, *, *,330pF,0,0,Samsung Electronics,CAP CER330pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,22,
 *, *, *,3.3pF,0,0,Samsung Electronics,CAP CER3.3pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,23,
 *, *, *,33nF,0,0,Samsung Electronics,CAP CER33nF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,24,
 *, *, *,82pF,0,0,Samsung Electronics,CAP CER82pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,25,
 *, *, *,5.6pF,0,0,Samsung Electronics,CAP CER5.6pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,26,
 *, *, *,3.3nF,0,0,Samsung Electronics,CAP CER3.3nF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,27,
 *, *, *,2.7pF,0,0,Samsung Electronics,CAP CER2.7pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,28,
 *, *, *,2.2pF,0,0,Samsung Electronics,CAP CER2.2pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,29,
 *, *, *,3pF,0,0,Samsung Electronics,CAP CER3pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,30,
 *, *, *,68pF,0,0,Samsung Electronics,CAP CER68pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,31,
 *, *, *,47nF,0,0,Samsung Electronics,CAP CER47nF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,32,
 *, *, *,18pF,0,0,Samsung Electronics,CAP CER18pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,33,
 *, *, *,150pF,0,0,Samsung Electronics,CAP CER150pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,34,
 *, *, *,120pF,0,0,Samsung Electronics,CAP CER120pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,35,
 *, *, *,15pF,0,0,Samsung Electronics,CAP CER15pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,36,
 *, *, *,6.8nF,0,0,Samsung Electronics,CAP CER6.8nF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,37,
 *, *, *,10pF,0,0,Samsung Electronics,CAP CER10pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,38,
 *, *, *,5.1pF,0,0,Samsung Electronics,CAP CER5.1pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,39,
 *, *, *,680pF,0,0,Samsung Electronics,CAP CER680pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,40,
 *, *, *,68nF,0,0,Samsung Electronics,CAP CER68nF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,41,
 *, *, *,10pF,0,0,Samsung Electronics,CAP CER10pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,42,
 *, *, *,4.7nF,0,0,Samsung Electronics,CAP CER4.7nF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,43,
 *, *, *,47pF,0,0,Samsung Electronics,CAP CER47pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,44,
 *, *, *,2pF,0,0,Samsung Electronics,CAP CER2pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,45,
 *, *, *,1nF,0,0,Samsung Electronics,CAP CER1nF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,46,
 *, *, *,56nF,0,0,Samsung Electronics,CAP CER56nF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,47,
 *, *, *,1.5pF,0,0,Samsung Electronics,CAP CER1.5pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,48,
 *, *, *,220pF,0,0,Samsung Electronics,CAP CER220pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,49,
 *, *, *,1.2pF,0,0,Samsung Electronics,CAP CER1.2pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,50,
 *, *, *,220nF,0,0,Samsung Electronics,CAP CER220nF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,51,
 *, *, *,470pF,0,0,Samsung Electronics,CAP CER470pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,52,
 *, *, *,33pF,0,0,Samsung Electronics,CAP CER33pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,53,
 *, *, *,1uF,0,0,Samsung Electronics,CAP CER1uF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,54,
 *, *, *,22pF,0,0,Samsung Electronics,CAP CER22pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,55,
 *, *, *,2.2nF,0,0,Samsung Electronics,CAP CER2.2nF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,56,
 *, *, *,100pF,0,0,Samsung Electronics,CAP CER100pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,57,
 *, *, *,10nF,0,0,Samsung Electronics,CAP CER10nF 50V X7R 0402X7R,Cut Tape (CT), - ,Active,50,236,58,
 *, *, *,100nF,0,0,Samsung Electronics,CAP CER100nF 25V X7R 0402,Cut Tape (CT), - ,Active,50,236,59,
 *, *, *,100nF,0,0,Samsung Electronics,CAP CER100nF 50V X7R 0402,Cut Tape (CT), - ,Active,50,236,60,
 *, *, *,9.5pF,0,0,Samsung Electronics,CAP CER9.5pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,61,
 *, *, *,14pF,0,0,Samsung Electronics,CAP CER14pF 50V X7R 0805,Cut Tape (CT), - ,Active,50,236,62,
