1pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
39pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
22nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
15nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
24pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
4.7pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
3.9pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
12pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
8.2pF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
560pF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
470nF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
180pF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
820pF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
5pF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
330nF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
5.6pF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
560nF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
27pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
9pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
6.8pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
330pF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
3.3pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
33nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
82pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
5.6pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
3.3nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
2.7pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
2.2pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
3pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
68pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
47nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
18pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
150pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
120pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
15pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
6.8nF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
10pF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
5.1pF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
680pF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
68nF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
10pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
4.7nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
47pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
2pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
1nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
56nF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
1.5pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
220pF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
1.2pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
220nF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
470pF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
33pF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
1uF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
22pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
2.2nF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
100pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
10nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402X7R, - , - , - , - ,
100nF,10%,25V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
100nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0402,0.039 L x 0.020 W (1.00mm x 0.50mm), - , - , - , - ,
9.5pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0805,0.079 L x 0.049 W (2.00mm x 1.25mm), - , - , - , - ,
14pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0805,0.079 L x 0.049 W (2.00mm x 1.25mm), - , - , - , - ,
