id,hd_image,ld_image,datasheet,footprint,manufacturer_part_number,quantity_available,unit_price,manufacturer,description,packaging,series,part_status,minimum_quantity,original,component_id,part_id,model,created_at,updated_at
, *, *,,,10uF,0,0,Semtech Electronics,CAP ALUM 10uF 16V 20% SMD,Cut Tape (CT), - ,Active,10,,7,2,,,
, *, *,,,100uF,0,0,Semtech Electronics,CAP ALUM 100uF 16V 20% SMD,Cut Tape (CT), - ,Active,10,,7,3,,,
, *, *,,,150uF,0,0,Semtech Electronics,CAP ALUM 150uF 10V 20% SMD,Cut Tape (CT), - ,Active,10,,7,4,,,
, *, *,,,220uF,0,0,Semtech Electronics,CAP ALUM 220uF 10V 20% SMD,Cut Tape (CT), - ,Active,10,,7,5,,,
, *, *,,,220uF,0,0,Semtech Electronics,CAP ALUM 220uF 6.3V 20% SMD,Cut Tape (CT), - ,Active,10,,7,6,,,
, *, *,,,4.7uF,0,0,Semtech Electronics,CAP ALUM 4.7uF 35V 20% SMD,Cut Tape (CT), - ,Active,10,,7,7,,,
, *, *,,,33uF,0,0,Semtech Electronics,CAP ALUM 33uF 10V 20% SMD,Cut Tape (CT), - ,Active,10,,7,8,,,
, *, *,,,0.1uF,0,0,Semtech Electronics,CAP ALUM 0.1uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,9,,,
, *, *,,,47uF,0,0,Semtech Electronics,CAP ALUM 47uF 6.3V 20% SMD,Cut Tape (CT), - ,Active,10,,7,10,,,
, *, *,,,220uF,0,0,Semtech Electronics,CAP ALUM 220uF 25V 20% SMD,Cut Tape (CT), - ,Active,10,,7,11,,,
, *, *,,,33uF,0,0,Semtech Electronics,CAP ALUM 33uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,12,,,
, *, *,,,330uF,0,0,Semtech Electronics,CAP ALUM 330uF 35V 20% SMD,Cut Tape (CT), - ,Active,10,,7,13,,,
, *, *,,,10uF,0,0,Semtech Electronics,CAP ALUM 10uF 35V 20% SMD,Cut Tape (CT), - ,Active,10,,7,14,,,
, *, *,,,47uF,0,0,Semtech Electronics,CAP ALUM 47uF 25V 20% SMD,Cut Tape (CT), - ,Active,10,,7,15,,,
, *, *,,,4.7uF,0,0,Semtech Electronics,CAP ALUM 4.7uF 25V 20% SMD,Cut Tape (CT), - ,Active,10,,7,16,,,
, *, *,,,22uF,0,0,Semtech Electronics,CAP ALUM 22uF 25V 20% SMD,Cut Tape (CT), - ,Active,10,,7,17,,,
, *, *,,,3.3uF,0,0,Semtech Electronics,CAP ALUM 3.3uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,18,,,
, *, *,,,470uF,0,0,Semtech Electronics,CAP ALUM 470uF 25V 20% SMD,Cut Tape (CT), - ,Active,10,,7,19,,,
, *, *,,,22uF,0,0,Semtech Electronics,CAP ALUM 22uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,20,,,
, *, *,,,33uF,0,0,Semtech Electronics,CAP ALUM 33uF 25V 20% SMD,Cut Tape (CT), - ,Active,10,,7,21,,,
, *, *,,,22uF,0,0,Semtech Electronics,CAP ALUM 22uF 35V 20% SMD,Cut Tape (CT), - ,Active,10,,7,22,,,
, *, *,,,4.7uF,0,0,Semtech Electronics,CAP ALUM 4.7uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,23,,,
, *, *,,,10uF,0,0,Semtech Electronics,CAP ALUM 10uF 25V 20% SMD,Cut Tape (CT), - ,Active,10,,7,24,,,
, *, *,,,100uF,0,0,Semtech Electronics,CAP ALUM 100uF 35V 20% SMD,Cut Tape (CT), - ,Active,10,,7,25,,,
, *, *,,,47uF,0,0,Semtech Electronics,CAP ALUM 47uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,26,,,
, *, *,,,220uF,0,0,Semtech Electronics,CAP ALUM 220uF 35V 20% SMD,Cut Tape (CT), - ,Active,10,,7,27,,,
, *, *,,,100uF,0,0,Semtech Electronics,CAP ALUM 100uF 10V 20% SMD,Cut Tape (CT), - ,Active,10,,7,28,,,
, *, *,,,470uF,0,0,Semtech Electronics,CAP ALUM 470uF 35V 20% SMD,Cut Tape (CT), - ,Active,10,,7,29,,,
, *, *,,,100uF,0,0,Semtech Electronics,CAP ALUM 100uF 25V 20% SMD,Cut Tape (CT), - ,Active,10,,7,30,,,
, *, *,,,150uF,0,0,Semtech Electronics,CAP ALUM 150uF 16V 20% SMD,Cut Tape (CT), - ,Active,10,,7,31,,,
, *, *,,,33uF,0,0,Semtech Electronics,CAP ALUM 33uF 4V 20% SMD,Cut Tape (CT), - ,Active,10,,7,32,,,
, *, *,,,39uF,0,0,Semtech Electronics,CAP ALUM 39uF 16V 20% SMD,Cut Tape (CT), - ,Active,10,,7,33,,,
, *, *,,,68uF,0,0,Semtech Electronics,CAP ALUM 68uF 4V 20% SMD,Cut Tape (CT), - ,Active,10,,7,34,,,
, *, *,,,40uF,0,0,Semtech Electronics,CAP ALUM 40uF 100V 20% SMD,Cut Tape (CT), - ,Active,10,,7,35,,,
, *, *,,,0.22uF,0,0,Semtech Electronics,CAP ALUM 0.22uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,36,,,
, *, *,,,0.47uF,0,0,Semtech Electronics,CAP ALUM 0.47uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,37,,,
, *, *,,,33uF,0,0,Semtech Electronics,CAP ALUM 33uF 16V 20% SMD,Cut Tape (CT), - ,Active,10,,7,38,,,
