id,hd_image,ld_image,datasheet,footprint,manufacturer_part_number,quantity_available,unit_price,manufacturer,description,packaging,series,part_status,minimum_quantity,original,component_id,part_id,model,created_at,updated_at
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT  20%   ,Cut Tape (CT),TAJ,Active,10,,239,1,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 4.7uF 20% 10V  A,Cut Tape (CT),TAJ,Active,10,,239,2,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 35V  D,Cut Tape (CT),TAJ,Active,10,,239,3,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 1uF 20% 35V  B,Cut Tape (CT),TAJ,Active,10,,239,4,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 100uF 20% 35V  D,Cut Tape (CT),TAJ,Active,10,,239,5,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 2.2uF 20% 20V  B,Cut Tape (CT),TAJ,Active,10,,239,6,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 2V  A,Cut Tape (CT),TAJ,Active,10,,239,7,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 6.3V  A,Cut Tape (CT),TAJ,Active,10,,239,8,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 680nF 20% 35V  A,Cut Tape (CT),TAJ,Active,10,,239,9,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 2.2uF 20% 6.3V  A,Cut Tape (CT),TAJ,Active,10,,239,10,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 1.5uF 20% 10V  A,Cut Tape (CT),TAJ,Active,10,,239,11,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 0.15uF 20% 35V  A,Cut Tape (CT),TAJ,Active,10,,239,12,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 3.3uF 20% 6.3V  A,Cut Tape (CT),TAJ,Active,10,,239,13,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 1.5uF 20% 25V  A,Cut Tape (CT),TAJ,Active,10,,239,14,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 0.68uF 20% 20V  A,Cut Tape (CT),TAJ,Active,10,,239,15,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 0.47uF 20% 35V  A,Cut Tape (CT),TAJ,Active,10,,239,16,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 0.47uF 20% 25V  A,Cut Tape (CT),TAJ,Active,10,,239,17,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 4.7uF 20% 16V  B,Cut Tape (CT),TAJ,Active,10,,239,18,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 15uF 20% 6.3V  B,Cut Tape (CT),TAJ,Active,10,,239,19,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 680nF 20% 35V  B,Cut Tape (CT),TAJ,Active,10,,239,20,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 6.8uF 20% 16V  B,Cut Tape (CT),TAJ,Active,10,,239,21,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 16V  B,Cut Tape (CT),TAJ,Active,10,,239,22,,,
