id,hd_image,ld_image,datasheet,footprint,manufacturer_part_number,quantity_available,unit_price,manufacturer,description,packaging,series,part_status,minimum_quantity,original,component_id,part_id,model,created_at,updated_at
, *, *, *, *,1pF,0,0,Samsung Electronics,CAP CER1pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,,9,2,,,
, *, *, *, *,39pF,0,0,Samsung Electronics,CAP CER39pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,,9,3,,,
, *, *, *, *,22nF,0,0,Samsung Electronics,CAP CER22nF 50V X7R 0402,Cut Tape (CT), - ,Active,50,,9,4,,,
, *, *, *, *,15nF,0,0,Samsung Electronics,CAP CER15nF 50V X7R 0402,Cut Tape (CT), - ,Active,50,,9,5,,,
, *, *, *, *,24pF,0,0,Samsung Electronics,CAP CER24pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,,9,6,,,
, *, *, *, *,4.7pF,0,0,Samsung Electronics,CAP CER4.7pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,,9,7,,,
, *, *, *, *,3.9pF,0,0,Samsung Electronics,CAP CER3.9pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,,9,8,,,
, *, *, *, *,12pF,0,0,Samsung Electronics,CAP CER12pF 50V X7R 0402,Cut Tape (CT), - ,Active,50,,9,9,,,
, *, *, *, *,8.2pF,0,0,Samsung Electronics,CAP CER8.2pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,,9,10,,,
, *, *, *, *,560pF,0,0,Samsung Electronics,CAP CER560pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,,9,11,,,
, *, *, *, *,470nF,0,0,Samsung Electronics,CAP CER470nF 25V X7R 0402,Cut Tape (CT), - ,Active,50,,9,12,,,
, *, *, *, *,180pF,0,0,Samsung Electronics,CAP CER180pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,,9,13,,,
, *, *, *, *,820pF,0,0,Samsung Electronics,CAP CER820pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,,9,14,,,
, *, *, *, *,5pF,0,0,Samsung Electronics,CAP CER5pF 25V X7R 0402,Cut Tape (CT), - ,Active,50,,9,15,,,
