id,hd_image,ld_image,datasheet,footprint,manufacturer_part_number,quantity_available,unit_price,manufacturer,description,packaging,series,part_status,minimum_quantity,original,component_id,part_id,model,created_at,updated_at
, *, *, *,,R10k-ARRAY-9pin,0,0,YAGEO Corporation,RES ARRAY 4 RES 10K OHM 1206,Tape & Reel (TR),-,Active,20,,204,1,,,
, *, *, *,,R120-ARRAY,0,0,YAGEO Corporation,RES ARRAY 4 RES 120 OHM 0603,Tape & Reel (TR),-,Active,20,,204,2,,,
, *, *, *,,R680-ARRAY,0,0,YAGEO Corporation,RES ARRAY 4 RES 680 OHM 0603,Tape & Reel (TR),-,Active,20,,204,3,,,
, *, *, *,,R4.7k-ARRAY,0,0,YAGEO Corporation,RES ARRAY 8 RES 4.7K OHM 0603,Tape & Reel (TR),-,Active,20,,204,4,,,
, *, *, *,,R1K-ARRAY,0,0,YAGEO Corporation,RES ARRAY 5 RES 1K OHM 1206,Tape & Reel (TR),-,Active,20,,204,5,,,
, *, *, *,,R100K-ARRAY,0,0,YAGEO Corporation,RES ARRAY 4 RES 100K OHM 0603,Tape & Reel (TR),-,Active,20,,204,6,,,
, *, *, *,,R220-ARRAY,0,0,YAGEO Corporation,RES ARRAY 4 RES 220 OHM 0603,Tape & Reel (TR),-,Active,20,,204,7,,,
, *, *, *,,R4.7k-ARRAY,0,0,YAGEO Corporation,RES ARRAY 4 RES 4.7K OHM 0603,Tape & Reel (TR),-,Active,20,,204,8,,,
, *, *, *,,R100-ARRAY,0,0,YAGEO Corporation,RES ARRAY 4 RES 100 OHM 0603,Tape & Reel (TR),-,Active,20,,204,9,,,
, *, *, *,,R1k-ARRAY,0,0,YAGEO Corporation,RES ARRAY 4 RES 1K OHM 0603,Tape & Reel (TR),-,Active,20,,204,10,,,
, *, *, *,,R10K-ARRAY,0,0,YAGEO Corporation,RES ARRAY 5 RES 10K OHM 0603,Tape & Reel (TR),-,Active,20,,204,11,,,
, *, *, *,,R10k-ARRAY,0,0,YAGEO Corporation,RES ARRAY 4 RES 10K OHM 0603,Tape & Reel (TR),-,Active,20,,204,12,,,
, *, *, *,,R330-ARRAY,0,0,YAGEO Corporation,RES ARRAY 4 RES 330 OHM 0603,Tape & Reel (TR),-,Active,20,,204,13,,,
