id,hd_image,ld_image,datasheet,footprint,manufacturer_part_number,quantity_available,unit_price,manufacturer,description,packaging,series,part_status,minimum_quantity,original,component_id,part_id,model,created_at,updated_at
, *, *, *,,,0,0,Zenithsun Electronics Tech,RES  OHM   AXIAL,Cut Tape (CT),CF,Active,100,,205,1,,,
, *, *, *,,CF14JT2K,0,0,Zenithsun Electronics Tech,RES 2K OHM 1/4 1%  AXIAL,Cut Tape (CT),CF,Active,100,,205,2,,,
, *, *, *,,CF18JT20K,0,0,Zenithsun Electronics Tech,RES 20K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,3,,,
, *, *, *,,CF18JT26K7,0,0,Zenithsun Electronics Tech,RES 26.7K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,4,,,
, *, *, *,,CF18JT33R1,0,0,Zenithsun Electronics Tech,RES 33.1 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,5,,,
, *, *, *,,CF18JT926K,0,0,Zenithsun Electronics Tech,RES 926K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,6,,,
, *, *, *,,CF18JT97K,0,0,Zenithsun Electronics Tech,RES 97K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,7,,,
, *, *, *,,CF18JT976,0,0,Zenithsun Electronics Tech,RES 976 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,8,,,
, *, *, *,,CF18JT97R6,0,0,Zenithsun Electronics Tech,RES 97.6 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,9,,,
, *, *, *,,CF18JT953K,0,0,Zenithsun Electronics Tech,RES 953K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,10,,,
, *, *, *,,CF18JT95K3,0,0,Zenithsun Electronics Tech,RES 95.3K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,11,,,
, *, *, *,,CF18JT931K,0,0,Zenithsun Electronics Tech,RES 931K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,12,,,
, *, *, *,,CF18JT931,0,0,Zenithsun Electronics Tech,RES 931 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,13,,,
, *, *, *,,CF18JT93K1,0,0,Zenithsun Electronics Tech,RES 93.1K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,14,,,
, *, *, *,,CF18JT9K7,0,0,Zenithsun Electronics Tech,RES 9.7K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,15,,,
, *, *, *,,CF18JT9M76,0,0,Zenithsun Electronics Tech,RES 9.76M OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,16,,,
, *, *, *,,CF18JT9M53,0,0,Zenithsun Electronics Tech,RES 9.53M OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,17,,,
, *, *, *,,CF18JT9R53,0,0,Zenithsun Electronics Tech,RES 9.53 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,18,,,
, *, *, *,,CF18JT9R31,0,0,Zenithsun Electronics Tech,RES 9.31 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,19,,,
, *, *, *,,CF18JT9R1,0,0,Zenithsun Electronics Tech,RES 9.1 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,20,,,
, *, *, *,,CF18JT887K,0,0,Zenithsun Electronics Tech,RES 887K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,21,,,
, *, *, *,,CF18JT887,0,0,Zenithsun Electronics Tech,RES 887 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,22,,,
, *, *, *,,CF18JT88K7,0,0,Zenithsun Electronics Tech,RES 88.7K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,23,,,
, *, *, *,,CF18JT866K,0,0,Zenithsun Electronics Tech,RES 866K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,24,,,
, *, *, *,,CF18JT866,0,0,Zenithsun Electronics Tech,RES 866 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,25,,,
, *, *, *,,CF18JT860K,0,0,Zenithsun Electronics Tech,RES 860K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,26,,,
, *, *, *,,CF18JT86K6,0,0,Zenithsun Electronics Tech,RES 86.6K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,27,,,
, *, *, *,,CF18JT86K5,0,0,Zenithsun Electronics Tech,RES 86.5K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,28,,,
, *, *, *,,CF18JT85K,0,0,Zenithsun Electronics Tech,RES 85K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,29,,,
, *, *, *,,CF18JT845K,0,0,Zenithsun Electronics Tech,RES 845K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,30,,,
, *, *, *,,CF18JT845,0,0,Zenithsun Electronics Tech,RES 845 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,31,,,
, *, *, *,,CF18JT84K5,0,0,Zenithsun Electronics Tech,RES 84.5K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,32,,,
, *, *, *,,CF18JT84R5,0,0,Zenithsun Electronics Tech,RES 84.5 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,33,,,
, *, *, *,,CF18JT82R5,0,0,Zenithsun Electronics Tech,RES 82.5 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,34,,,
, *, *, *,,CF18JT806K,0,0,Zenithsun Electronics Tech,RES 806K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,35,,,
, *, *, *,,CF18JT80R6,0,0,Zenithsun Electronics Tech,RES 80.6 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,36,,,
, *, *, *,,CF18JT8M87,0,0,Zenithsun Electronics Tech,RES 8.87M OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,37,,,
, *, *, *,,CF18JT8R87,0,0,Zenithsun Electronics Tech,RES 8.87 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,38,,,
, *, *, *,,CF18JT8M66,0,0,Zenithsun Electronics Tech,RES 8.66M OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,39,,,
, *, *, *,,CF18JT8M45,0,0,Zenithsun Electronics Tech,RES 8.45M OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,40,,,
, *, *, *,,CF18JT8R45,0,0,Zenithsun Electronics Tech,RES 8.45 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,41,,,
, *, *, *,,CF18JT8K15,0,0,Zenithsun Electronics Tech,RES 8.15K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,42,,,
, *, *, *,,CF18JT8K08,0,0,Zenithsun Electronics Tech,RES 8.08K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,43,,,
, *, *, *,,CF18JT8M06,0,0,Zenithsun Electronics Tech,RES 8.06M OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,44,,,
, *, *, *,,CF18JT78K,0,0,Zenithsun Electronics Tech,RES 78K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,45,,,
, *, *, *,,CF18JT787,0,0,Zenithsun Electronics Tech,RES 787 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,46,,,
, *, *, *,,CF18JT78R7,0,0,Zenithsun Electronics Tech,RES 78.7 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,47,,,
, *, *, *,,CF18JT768K,0,0,Zenithsun Electronics Tech,RES 768K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,48,,,
, *, *, *,,CF18JT768,0,0,Zenithsun Electronics Tech,RES 768 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,49,,,
