id,hd_image,ld_image,datasheet,footprint,manufacturer_part_number,quantity_available,unit_price,manufacturer,description,packaging,series,part_status,minimum_quantity,original,component_id,part_id,model,created_at,updated_at
, *, *, *,,R0,0,0,Hottech Industrial Co ,RES SMD  OHM  1/16W 0402,Tape & Reel (TR),-,Active,50,,203,2,,,
, *, *, *,,R464K,0,0,Hottech Industrial Co ,RES SMD  OHM   1/16W 0402,Tape & Reel (TR),-,Active,50,,203,3,,,
, *, *, *,,R442K,0,0,Hottech Industrial Co ,RES SMD  OHM   1/16W 0402,Tape & Reel (TR),-,Active,50,,203,4,,,
, *, *, *,,R3.74K,0,0,Hottech Industrial Co ,RES SMD  OHM   1/16W 0402,Tape & Reel (TR),-,Active,50,,203,5,,,
, *, *, *,,R22.6K,0,0,Hottech Industrial Co ,RES SMD  OHM   1/16W 0402,Tape & Reel (TR),-,Active,50,,203,6,,,
, *, *, *,,R24.3K,0,0,Hottech Industrial Co ,RES SMD  OHM   1/16W 0402,Tape & Reel (TR),-,Active,50,,203,7,,,
, *, *, *,,R3.9K,0,0,Hottech Industrial Co ,RES SMD  OHM   1/16W 0402,Tape & Reel (TR),-,Active,50,,203,8,,,
, *, *, *,,R24,0,0,Hottech Industrial Co ,RES SMD  OHM   1W 2512,Tape & Reel (TR),-,Active,50,,203,9,,,
, *, *, *,,R6.2,0,0,Hottech Industrial Co ,RES SMD  OHM   1/8W 0805,Tape & Reel (TR),-,Active,50,,203,10,,,
, *, *, *,,R22,0,0,Hottech Industrial Co ,RES SMD  OHM   1/4W 1206,Tape & Reel (TR),-,Active,50,,203,11,,,
, *, *, *,,R180,0,0,Hottech Industrial Co ,RES SMD  OHM   1/10W 0603,Tape & Reel (TR),-,Active,50,,203,12,,,
, *, *, *,,R0.016,0,0,Hottech Industrial Co ,RES SMD  OHM   1/4W 1206,Tape & Reel (TR),-,Active,50,,203,13,,,
, *, *, *,,R0.56,0,0,Hottech Industrial Co ,RES SMD  OHM   1/4W 1206,Tape & Reel (TR),-,Active,50,,203,14,,,
, *, *, *,,R1.1,0,0,Hottech Industrial Co ,RES SMD  OHM   1/4W 1206,Tape & Reel (TR),-,Active,50,,203,15,,,
, *, *, *,,R1.15K,0,0,Hottech Industrial Co ,RES SMD  OHM   1/4W 1206,Tape & Reel (TR),-,Active,50,,203,16,,,
, *, *, *,,R1.1K,0,0,Hottech Industrial Co ,RES SMD  OHM   1/4W 1206,Tape & Reel (TR),-,Active,50,,203,17,,,
, *, *, *,,R1.2,0,0,Hottech Industrial Co ,RES SMD  OHM   1/4W 1206,Tape & Reel (TR),-,Active,50,,203,18,,,
, *, *, *,,R1.21K,0,0,Hottech Industrial Co ,RES SMD  OHM   1/4W 1206,Tape & Reel (TR),-,Active,50,,203,19,,,
