,20%,,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,,-,General Purpose, - ,
4.7uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
22uF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
1uF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
100uF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
2.2uF,20%,20V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
10uF,20%,2V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
22uF,20%,6.3V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
680nF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
2.2uF,20%,6.3V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
1.5uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
0.15uF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
3.3uF,20%,6.3V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
1.5uF,20%,25V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
0.68uF,20%,20V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
0.47uF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
0.47uF,20%,25V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
4.7uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
15uF,20%,6.3V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
680nF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
6.8uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
10uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
47uF,20%,6.3V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
0.68uF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
1.5uF,20%,25V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
0.68uF,20%,20V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
0.2uF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
10uF,20%,20V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
15uF,20%,20V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
22uF,20%,6.3V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
22uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
100uF,20%,4V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
6.8uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
33uF,20%,6.3V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
33uF,20%,4V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
22uF,20%,6V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
68uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
6.8uF,20%,25V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
15uF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
10uF,20%,20V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
33uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
33uF,20%,7V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
1.5uF,20%,50V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
150uF,20%,6.3V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
47uF,20%,20V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
10uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
15uF,20%,20V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
10uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
33uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
22uF,20%,20V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
33uF,20%,20V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
15uF,20%,25V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
8.2uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
68uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
100uF,20%,4V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
33uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
6.8uF,20%,50V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
47uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
390uF,20%,2V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
47uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,E,-,General Purpose, - ,
22uF,20%,20V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,E,-,General Purpose, - ,
330uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,E,-,General Purpose, - ,
470uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,E,-,General Purpose, - ,
470uF,20%,6.3V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,E,-,General Purpose, - ,
150uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
47uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
33uF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,E,-,General Purpose, - ,
47uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
1.5uF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
680nF,20%,20V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
33uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
200nF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
15uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
68uF,20%,6.3V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
33uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
1uF,20%,50V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
47uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
2.2uF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
47uF,20%,6.3V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
1.5uF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
4.7uF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
15uF,20%,25V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
15uF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
47uF,20%,25V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
150uF,20%,6.3V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
22uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
10uF,20%,50V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,E,-,General Purpose, - ,
150nF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
680nF,20%,20V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
6.8uF,20%,6.3V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
4.7uF,20%,20V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
0.22uF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
470nF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
4.7uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
22uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
10uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
15uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
68uF,20%,6.3V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
4.7uF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
22uF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,E,-,General Purpose, - ,
33uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
4.7uF,20%,20V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
220uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
68uF,20%,6.3V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
3.3uF,20%,20V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
220uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,E,-,General Purpose, - ,
6.8uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
150uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
47uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
2.2uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
4.7uF,20%,20V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
4.7uF,20%,25V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
2.2uF,20%,50V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
4.7uF,20%,50V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
330uF,20%,6.3V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
1000u6.3VTE,20%,V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,E,-,General Purpose, - ,
220nF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
470nF,20%,25V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
33uF,20%,6.3V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
33uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
22uF,20%,20V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
68uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
100uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
1uF,20%,20V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
22uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
22uF,20%,25V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
470uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
220uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,E,-,General Purpose, - ,
2.2uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,A,-,General Purpose, - ,
33uF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
470uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,E,-,General Purpose, - ,
10uF,20%,10V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
10uF,20%,25V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
10uF,20%,35V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,C,-,General Purpose, - ,
3.3uF,20%,25V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
68uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,B,-,General Purpose, - ,
33uF,20%,25V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
100uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
470uF,20%,16V,Molded,-,-55°C ~ 125°C,Surface Mount,-,-, - , - ,D,-,General Purpose, - ,
