NPN,1A,80V,500mV @ 50mA* 500mA,100nA (ICBO),100 @ 150mA* 2V,1W,150MHz,-65°C ~ 150°C (TJ),Surface Mount,TO-243AA,SOT-89-3
NPN,600mA,40V,1V @ 50mA* 500mA,10nA (ICBO),75 @ 10mA* 10V,250mW,300MHz,150°C (TJ),Surface Mount,6-TSSOP* SC-88* SOT-363,6-TSSOP
NPN,500mA,45V,700mV @ 50mA* 500mA,100nA (ICBO),250 @ 100mA* 1V,200mW,100MHz,150°C (TJ),Surface Mount,SC-70* SOT-323,SOT-323-3
PNP - Darlington,5A,100V,4V @ 20mA* 5A,2mA,1000 @ 3A* 3V,2W,-,150°C (TJ),Through Hole,TO-220-3,TO-220-3
NPN,800mA,40V,1V @ 50mA* 500mA,10nA (ICBO),100 @ 150mA* 10V,800mW,300MHz,-65°C ~ 200°C (TJ),Through Hole,TO-205AD* TO-39-3 Metal Can,TO-39
NPN,4A,80V,1.4V @ 1A* 4A,1mA,20 @ 1.5A* 2V,40W,2MHz,-65°C ~ 150°C (TJ),Through Hole,TO-225AA* TO-126-3,TO-225AA
PNP,1A,80V,500mV @ 50mA* 500mA,100nA (ICBO),100 @ 150mA* 2V,1.3W,145MHz,150°C (TJ),Surface Mount,TO-243AA,SOT-89-3
NPN,800mA,40V,1V @ 50mA* 500mA,10nA (ICBO),100 @ 150mA* 10V,500mW,300MHz,-65°C ~ 200°C (TJ),Through Hole,TO-206AA* TO-18-3 Metal Can,TO-18
PNP,600mA,60V,1.6V @ 50mA* 500mA,10nA (ICBO),100 @ 150mA* 10V,600mW,200MHz,-65°C ~ 200°C (TJ),Through Hole,TO-205AD* TO-39-3 Metal Can,TO-39
PNP,600mA,60V,1.6V @ 50mA* 500mA,10nA (ICBO),100 @ 150mA* 10V,400mW,200MHz,-65°C ~ 200°C (TJ),Through Hole,TO-206AA* TO-18-3 Metal Can,TO-18
PNP,3A,50V,700mV @ 100mA* 2A,1µA (ICBO),200 @ 100mA* 2V,1W,150MHz,150°C (TJ),Surface Mount,TO-252-3* DPak (2 Leads + Tab)* SC-63,2-TP-FA
NPN,3A,50V,500mV @ 100mA* 2A,1µA (ICBO),200 @ 100mA* 2V,1W,150MHz,150°C (TJ),Surface Mount,TO-252-3* DPak (2 Leads + Tab)* SC-63,2-TP-FA
PNP,500mA,45V,700mV @ 50mA* 500mA,100nA (ICBO),250 @ 100mA* 1V,200mW,80MHz,150°C (TJ),Surface Mount,SC-70* SOT-323,SOT-323-3
PNP,1.5A,80V,500mV @ 50mA* 500mA,100nA (ICBO),40 @ 150mA* 2V,1.5W,50MHz,-65°C ~ 150°C (TJ),Surface Mount,TO-261-4* TO-261AA,SOT-223
NPN,1A,80V,500mV @ 50mA* 500mA,100nA (ICBO),40 @ 150mA* 2V,1.5W,130MHz,-65°C ~ 150°C (TJ),Surface Mount,TO-261-4* TO-261AA,SOT-223
NPN - Darlington,8A,100V,2V @ 12mA* 3A,500µA,750 @ 3A* 3V,65W,-,-65°C ~ 150°C (TJ),Through Hole,TO-220-3,TO-220AB
PNP - Darlington,8A,100V,2V @ 12mA* 3A,500µA,750 @ 3A* 3V,65W,-,-65°C ~ 150°C (TJ),Through Hole,TO-220-3,TO-220AB
NPN,1.5A,400V,3V @ 500mA* 1.5A,-,8 @ 500mA* 2V,1.4W,10MHz,-65°C ~ 150°C (TJ),Through Hole,TO-225AA* TO-126-3,TO-225AA
PNP,10A,60V,8V @ 3.3A* 10A,700µA,20 @ 4A* 4V,600mW,2MHz,150°C (TJ),Through Hole,TO-220-3,TO-220-3
NPN,10A,60V,8V @ 3.3A* 10A,700µA,20 @ 4A* 4V,75W,2MHz,-55°C ~ 150°C (TJ),Through Hole,TO-220-3,TO-220AB
PNP,500mA,300V,500mV @ 2mA* 20mA,250nA (ICBO),25 @ 30mA* 10V,300mW,50MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3 (TO-236)
PNP,15A,60V,3V @ 3.3A* 10A,700µA,20 @ 4A* 4V,90W,2.5MHz,-65°C ~ 150°C (TJ),Through Hole,TO-247-3,TO-247
NPN,15A,60V,3V @ 3.3A* 10A,700µA,20 @ 4A* 4V,90W,-,150°C (TJ),Through Hole,TO-247-3,TO-247-3
NPN,25A,100V,4V @ 5A* 25A,1mA,10 @ 15A* 4V,125W,3MHz,150°C (TJ),Through Hole,TO-3P-3* SC-65-3,TO-3P
PNP,25A,100V,4V @ 5A* 25A,1mA,10 @ 15A* 4V,125W,3MHz,150°C (TJ),Through Hole,TO-247-3,TO-247-3
NPN,6A,100V,1.5V @ 600mA* 6A,700µA,15 @ 3A* 4V,2W,3MHz,150°C (TJ),Through Hole,TO-220-3,TO-220
PNP,1A,60V,600mV @ 100mA* 1A,100nA,100 @ 500mA* 5V,1W,150MHz,-65°C ~ 150°C (TJ),Surface Mount,TO-243AA,SOT-89-3
NPN,2A,45V,300mV @ 5mA* 1A,100nA (ICBO),400 @ 1A* 2V,2W,150MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-243AA,SOT-89-3
PNP,2A,40V,450mV @ 50mA* 2A,100nA (ICBO),300 @ 10mA* 2V,2W,100MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-243AA,SOT-89-3
NPN,20A,800V,3V @ 2.75A* 11A,1mA,5.5 @ 11A* 5V,200W,-,150°C (TJ),Through Hole,TO-264-3* TO-264AA,TO-264-3
NPN,600mA,40V,1V @ 50mA* 500mA,10µA (ICBO),100 @ 150mA* 10V,330mW,300MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
NPN - Avalanche Mode,500mA,100V,500mV @ 1mA* 10mA,100nA (ICBO),25 @ 10mA* 10V,330mW,40MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
NPN - Avalanche Mode,500mA,100V,500mV @ 1mA* 10mA,100nA (ICBO),25 @ 10mA* 10V,330mW,40MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
NPN,1A,60V,350mV @ 15mA* 150mA,100nA (ICBO),50 @ 150mA* 10V,500mW,150MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
NPN,1A,60V,250mV @ 100mA* 1A,100nA,100 @ 500mA* 5V,500mW,150MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
NPN,1A,100V,600mV @ 100mA* 1A,100nA,100 @ 250mA* 10V,500mW,150MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
NPN,500mA,300V,300mV @ 25mA* 250mA,100nA,80 @ 100mA* 10V,500mW,75MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
PNP,1A,40V,500mV @ 100mA* 1A,100nA,300 @ 100mA* 5V,500mW,150MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
PNP,200mA,300V,250mV @ 20mA* 100mA,100nA,100 @ 50mA* 10V,500mW,75MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
NPN,2.5A,20V,200mV @ 50mA* 2.5A,100nA,200 @ 2A* 2V,625mW,140MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
NPN,2.5A,20V,200mV @ 50mA* 2.5A,100nA,200 @ 2A* 2V,625mW,140MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
NPN,2A,50V,220mV @ 100mA* 2A,100nA (ICBO),100 @ 2A* 2V,350mW,100MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23
NPN,1A,150V,300mV @ 50mA* 1A,100nA,300 @ 200mA* 10V,625mW,135MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
PNP,1.5A,20V,220mV @ 50mA* 1.5A,100nA,300 @ 100mA* 2V,625mW,180MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
PNP,1.5A,40V,330mV @ 100mA* 1.5A,100nA,300 @ 100mA* 2V,625mW,190MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
PNP,1.5A,40V,330mV @ 100mA* 1.5A,100nA,300 @ 100mA* 2V,625mW,190MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
PNP,1A,100V,330mV @ 150mA* 1A,100nA,250 @ 500mA* 10V,625mW,200MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
NPN,3A,60V,600mV @ 300mA* 3A,100nA (ICBO),100 @ 500mA* 2V,2W,175MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-261-4* TO-261AA,SOT-223
NPN,500mA,400V,500mV @ 10mA* 100mA,100nA (ICBO),40 @ 200mA* 10V,2W,50MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-261-4* TO-261AA,SOT-223
PNP,3A,25V,600mV @ 300mA* 3A,100nA (ICBO),100 @ 1A* 2V,2W,160MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-261-4* TO-261AA,SOT-223
PNP,3A,60V,600mV @ 300mA* 3A,100nA (ICBO),100 @ 500mA* 2V,3W,140MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-261-4* TO-261AA,SOT-223
PNP,3A,60V,600mV @ 300mA* 3A,100nA (ICBO),100 @ 500mA* 2V,2W,140MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-261-4* TO-261AA,SOT-223
PNP,500mA,400V,500mV @ 10mA* 100mA,100nA,40 @ 200mA* 10V,2W,50MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-261-4* TO-261AA,SOT-223
PNP,3A,15V,500mV @ 50mA* 3A,100nA (ICBO),500 @ 10mA* 2V,2W,100MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-261-4* TO-261AA,SOT-223
PNP,3A,25V,500mV @ 100mA* 3A,100nA,300 @ 10mA* 2V,2W,100MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-261-4* TO-261AA,SOT-223
NPN,6A,60V,375mV @ 300mA* 6A,50nA (ICBO),100 @ 2A* 1V,3W,130MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-261-4* TO-261AA,SOT-223
NPN,6A,100V,340mV @ 500mA* 5A,10nA (ICBO),100 @ 2A* 2V,3W,130MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-261-4* TO-261AA,SOT-223
PNP,5.5A,30V,440mV @ 500mA* 5.5A,50nA (ICBO),100 @ 1A* 1V,3W,100MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-261-4* TO-261AA,SOT-223
PNP,5A,60V,460mV @ 500mA* 5A,50nA (ICBO),100 @ 2A* 1V,3W,120MHz,-55°C ~ 150°C (TJ),Surface Mount,TO-261-4* TO-261AA,SOT-223
