Phase Lock Loop (PLL),Yes,CMOS,CMOS,1,1:01,No/No,2.4MHz,Yes/No,3 V ~ 18 V,-55°C ~ 125°C,Through Hole,"16-DIP (0.300""* 7.62mm)",16-PDIP
Phase Lock Loop (PLL),Yes,CMOS,CMOS,1,1:04,No/No,38MHz,No/No,2 V ~ 6 V,-55°C ~ 125°C,Surface Mount,"16-SOIC (0.209""* 5.30mm Width)",16-SO
Phase Lock Loop (PLL),Yes,CMOS,CMOS,1,1:04,No/No,38MHz,No/No,4.5 V ~ 5.5 V,-55°C ~ 125°C,Through Hole,"16-DIP (0.300""* 7.62mm)",16-PDIP
Phase Lock Loop (PLL),Yes,CMOS,CMOS,1,1:01,No/No,2.4MHz,Yes/No,3 V ~ 18 V,-55°C ~ 125°C,Surface Mount,"16-TSSOP (0.173""* 4.40mm Width)",16-TSSOP
Phase Lock Loop (PLL),Yes,CMOS,CMOS,1,1:04,No/No,38MHz,No/No,2 V ~ 6 V,-55°C ~ 125°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width)",16-SOIC
Phase Lock Loop (PLL),Yes,Clock,Clock,1,1:04,No/No,2.7MHz,No/No,3 V ~ 15 V,-40°C ~ 85°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width)",16-SO
Fractional N Synthesizer (RF),Yes,Clock* Crystal,Clock* Crystal,1,2:02,Yes/Yes,2.1GHz,Yes/No,2.7 V ~ 3.3 V,-40°C ~ 85°C,Surface Mount,24-VFQFN Exposed Pad,24-QFN-EP (4x4)
Clock Generator* Fanout Distribution,Yes,CMOS* LVDS* LVPECL,CMOS* LVDS* LVPECL,1,1:14,Yes/Yes,2.4GHz,Yes/No,3.135 V ~ 3.465 V,-40°C ~ 85°C,Surface Mount,64-VFQFN Exposed Pad* CSP,64-LFCSP-VQ (9x9)
-,Yes with Bypass,LVCMOS* LVDS* LVPECL* Crystal,HCSL* LVCMOS* LVDS* LVPECL,1,2:05,Yes/Yes,919MHz,Yes/No,2.375 V ~ 3.63 V,-25°C ~ 85°C,Surface Mount,48-WFQFN Exposed Pad* CSP,48-LFCSP-VQ (7x7)
Clock/Synthesizer (RF)* Phase Detector,Yes with Bypass,CMOS* TTL,Clock,1,2:01,Yes/No,400MHz,Yes/No,2.7 V ~ 3.3 V,-40°C ~ 85°C,Surface Mount,"16-TSSOP (0.173""* 4.40mm Width)",16-TSSOP
Clock/Synthesizer (RF),Yes,CMOS* TTL,Clock,1,2:01,Yes/No,6GHz,Yes/No,2.7 V ~ 3.3 V,-40°C ~ 85°C,Surface Mount,"16-TSSOP (0.173""* 4.40mm Width)",16-TSSOP
Fractional N Synthesizer (RF),Yes,CMOS* TTL,Clock,1,2:01,Yes/No,4GHz,No/Yes,2.7 V ~ 3.3 V,-40°C ~ 85°C,Surface Mount,"16-TSSOP (0.173""* 4.40mm Width)",16-TSSOP
-,Yes,CMOS* TTL,CMOS,1,2:01,Yes/No,13GHz,Yes/Yes,1.62 V ~ 3.45 V,-40°C ~ 125°C,Surface Mount,24-WFQFN Exposed Pad* CSP,24-LFCSP-WQ (4x4)
Clock/Synthesizer (RF/IF)* Fractional N* Integer N,Yes,CMOS* TTL,Clock,1,3:02,Yes/No,3GHz,Yes/No,2.7 V ~ 3.3 V,-40°C ~ 85°C,Surface Mount,24-WFQFN Exposed Pad* CSP,24-LFCSP-WQ (4x4)
Fanout Distribution* Fractional N* Integer N* Clock/Synthesizer (RF),Yes,CMOS* TTL,Clock,1,1:02,No/No,4.4GHz,Yes/Yes,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,32-WFQFN Exposed Pad* CSP,32-LFCSP-WQ (5x5)
Fanout Distribution* Fractional N* Integer N* Clock/Synthesizer (RF),Yes,CMOS* TTL,Clock,1,1:02,No/Yes,4.4GHz,Yes/Yes,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,32-VFQFN Exposed Pad* CSP,32-LFCSP-VQ (5x5)
Fanout Distribution* Integer N Synthesizer (RF),Yes,CMOS* TTL,Clock,1,1:02,No/No,2.725GHz,Yes/No,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,24-WFQFN Exposed Pad* CSP,24-LFCSP-WQ (4x4)
Fanout Distribution* Integer N Synthesizer (RF),Yes,CMOS* TTL,Clock,1,1:02,No/No,2.17GHz,Yes/No,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,24-WFQFN Exposed Pad* CSP,24-LFCSP-WQ (4x4)
Fanout Distribution* Integer N Synthesizer (RF),Yes,CMOS* TTL,Clock,1,1:02,No/No,2.17GHz,Yes/No,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,24-WFQFN Exposed Pad* CSP,24-LFCSP-WQ (4x4)
Fanout Distribution* Integer N Synthesizer (RF),Yes,CMOS* TTL,Clock,1,1:02,No/No,1.95GHz,Yes/No,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,24-WFQFN Exposed Pad* CSP,24-LFCSP-WQ (4x4)
Fanout Distribution* Integer N Synthesizer (RF),Yes,CMOS* TTL,Clock,1,1:02,No/No,1.75GHz,Yes/No,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,24-WFQFN Exposed Pad* CSP,24-LFCSP-WQ (4x4)
Fanout Distribution* Integer N Synthesizer (RF),Yes,CMOS* TTL,Clock,1,1:02,No/No,1.8GHz,Yes/No,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,24-WFQFN Exposed Pad* CSP,24-LFCSP-WQ (4x4)
Fanout Distribution* Integer N Synthesizer (RF),Yes,CMOS* TTL,Clock,1,1:02,No/No,400MHz,Yes/No,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,24-WFQFN Exposed Pad* CSP,24-LFCSP-WQ (4x4)
