-,0.40%,-,-,-,3V ~ 3.6V,Single Phase* Dual Phase,-40°C ~ 85°C,Surface Mount,64-LQFP,64-LQFP (10x10)
-,0.10%,2V,0.8V,-,3V ~ 3.6V,Single Phase,-40°C ~ 85°C,Surface Mount,64-LQFP,64-LQFP (10x10)
390 kOhm,0.10%,2.4V,0.8V,3mA,4.75V ~ 5.25V,Single Phase,-40°C ~ 85°C,Surface Mount,"20-SSOP (0.209""* 5.30mm Width)",20-SSOP
320 kOhm,0.10%,2.4V* 4V* 4.5V,0.5V* 0.8V,5mA,4.75V ~ 5.25V,Single Phase,-40°C ~ 85°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width)",16-SOIC
770 kOhm,0.10%,1.3V* 2V* 2.4V,0.4V* 0.8V,4mA,2.4V ~ 3.7V,Single Phase,-40°C ~ 85°C,Surface Mount,64-LQFP,64-LQFP (10x10)
370 kOhm,0.10%,2.4V,0.8V,7mA,4.75V ~ 5.25V,3 Phase,-40°C ~ 85°C,Surface Mount,"24-SOIC (0.295""* 7.50mm Width)",24-SOIC
380 kOhm,0.10%,2.4V,0.8V,8mA,4.75V ~ 5.25V,3 Phase,-40°C ~ 85°C,Surface Mount,"24-SOIC (0.295""* 7.50mm Width)",24-SOIC
390 kOhm,0.10%,2.4V,0.8V,3mA,4.75V ~ 5.25V,Single Phase,-40°C ~ 85°C,Surface Mount,"20-SSOP (0.209""* 5.30mm Width)",20-SSOP
400 kOhm,0.20%,2V* 2.4V,0.4V* 0.8V,20mA,2.8V ~ 3.7V,3 Phase,-40°C ~ 85°C,Surface Mount,40-WFQFN Exposed Pad* CSP,40-LFCSP-WQ (6x6)
490 kOhm,-,2.4V* 3V,0.4V* 0.8V,25mA,2.97V ~ 3.63V,3 Phase,-40°C ~ 85°C,Surface Mount,40-WFQFN Exposed Pad* CSP,40-LFCSP-WQ (6x6)
-,0.10%,2.4V,0.4V,7mA,3V ~ 3.6V,Single Phase,-40°C ~ 85°C,Surface Mount,28-WFQFN Exposed Pad* CSP,28-LFCSP-WQ (5x5)
30 kOhm,0.10%,0.8V,0.2V,2.9mA,4.75V ~ 5.25V,Single Phase,-40°C ~ 85°C,Surface Mount,"24-SSOP (0.209""* 5.30mm Width)",24-SSOP
50 kOhm ~ 100 kOhm,0.50%,High -1.1V* 2V,Low 0.8V* 0.96V,3mA,2.8V ~ 3.6V,Single Phase,-40°C ~ 85°C,Surface Mount,"28-TSSOP (0.173""* 4.40mm Width)",28-TSSOP
1 kOhm* 400 kOhm,0.50%,High -,Low -,-,2.8V ~ 3.6V,Single Phase,-40°C ~ 85°C,Surface Mount,"28-SSOP (0.209""* 5.30mm Width)",28-SSOP
50 kOhm* 80 kOhm* 120 kOhm,0.50%,High 3.2V* 5.5V,Low 0.4V* 0.8V,13mA,2.8V ~ 3.6V,3 Phase,-40°C ~ 85°C,Surface Mount,48-TQFP,48-TQFP (7x7)
50 kOhm* 80 kOhm* 120 kOhm,0.50%,High 2.8V* 3.6V,Low 0.4V* 0.8V,23mA,2.8V ~ 3.6V,3 Phase,-40°C ~ 85°C,Surface Mount,48-TQFP,48-TQFP (7x7)
390 kOhm,0.10%,High 2.4V,Low 0.85V,2.3mA,4.5V ~ 5.5V,Single Phase,-40°C ~ 85°C,Surface Mount,"24-SSOP (0.209""* 5.30mm Width)",24-SSOP
100 kOhm,0.10%,High 1.5V,Low 0.8V,5mA,3V ~ 5.5V,Single Phase,-40°C ~ 85°C,Surface Mount,"20-TSSOP (0.173""* 4.40mm Width)",20-TSSOP
100 kOhm,0.10%,High 1.5V,Low 0.8V,5mA,3.165V ~ 5.5V,Single Phase,-40°C ~ 85°C,Surface Mount,"20-TSSOP (0.173""* 4.40mm Width)",20-TSSOP
