Shunt,Adjustable,2.495V,36V,100mA,±1%,50ppm/°C Typical,-,-,-,-,1mA,0°C ~ 70°C (TA),Through Hole,TO-226-3* TO-92-3 (TO-226AA) (Formed Leads),TO-92-3
Shunt,Fixed,2.5V,-,-,±2%,-,-,-,-,-,-,0°C ~ 70°C (TA),Through Hole,TO-226-3* TO-92-3 (TO-226AA),TO-92-3
Shunt,Fixed,5V,-,15mA,±4%,-,-,-,-,-,10mA,0°C ~ 70°C (TA),Through Hole,TO-226-3* TO-92-3 (TO-226AA),TO-92-3
Shunt,Fixed,2.5V,-,15mA,±0.5%,100ppm/°C,-,35µVrms,-,-,65µA,-40°C ~ 85°C (TA),Through Hole,TO-226-3* TO-92-3 (TO-226AA),TO-92-3
Shunt,Fixed,2.5V,-,15mA,±1%,150ppm/°C,-,35µVrms,-,-,70µA,-40°C ~ 85°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Series,Fixed,10V,-,21mA,±1%,65ppm/°C,25µVp-p,-,13 V ~ 30 V,1.6mA,-,0°C ~ 70°C (TA),Through Hole,"8-DIP (0.300""* 7.62mm)",8-PDIP
Series,Fixed,5V,-,21mA,±0.3%,15ppm/°C,4µVp-p,-,8 V ~ 40 V,1.4mA,-,-40°C ~ 85°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,5V,-,21mA,±1%,65ppm/°C,12µVp-p,-,8 V ~ 30 V,1.6mA,-,0°C ~ 70°C (TA),Through Hole,"8-DIP (0.300""* 7.62mm)",8-PDIP
Shunt,Adjustable,2.495V,36V,100mA,±1%,-,-,-,-,-,600µA,0°C ~ 70°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Shunt,Fixed,1.225V,-,10mA,±0.08%,50ppm/°C,5µVp-p,20µVrms,-,-,50µA,-40°C ~ 85°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Series,Programmable,2.5V* 5V* 7.5V* 10V,-,10mA,±0.1%,15ppm/°C,50µVp-p,-,4.5 V ~ 30 V,1mA,-,-55°C ~ 125°C (TA),Through Hole,TO-99-8 Metal Can,TO-99-8
Series,Fixed,5V,-,10mA,±0.4%,25ppm/°C,4µVp-p,-,10.8 V ~ 36 V,3mA,-,0°C ~ 70°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,5V,-,10mA,±0.1%,15ppm/°C,4µVp-p,-,10.8 V ~ 36 V,3mA,-,0°C ~ 70°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,5V,-,10mA,±0.05%,5ppm/°C,4µVp-p,-,10.8 V ~ 36 V,3mA,-,0°C ~ 70°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Shunt,Fixed,1.235V,-,5mA,-0.00034526,100ppm/°C,-,5µVrms,-,-,50µA,0°C ~ 70°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,2.5V,-,10mA,±0.2%,20ppm/°C,10µVp-p,-,4.5 V ~ 36 V,280µA,-,-40°C ~ 85°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series* Shunt,Programmable,±2.5V* ±3V,-,10mA,±0.2%* ±0.17%,7ppm/°C,4µVp-p,-,4 V ~ 36 V,1mA,1mA,-40°C ~ 85°C (TA),Through Hole,"8-DIP (0.300""* 7.62mm)",8-PDIP
Series* Shunt,Programmable,±2.5V* ±3V,-,10mA,±0.2%* ±0.17%,7ppm/°C,4µVp-p,-,4 V ~ 36 V,1mA,1mA,-40°C ~ 85°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series* Shunt,Programmable,±2.5V* ±3V,-,10mA,±0.04%* ±0.03%,3ppm/°C,4µVp-p,-,4 V ~ 36 V,1mA,1mA,-40°C ~ 85°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series* Shunt,Programmable,±2.5V* ±3V,-,10mA,±0.04%* ±0.03%,3ppm/°C,4µVp-p,-,4 V ~ 36 V,1mA,1mA,-40°C ~ 85°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,10V,-,10mA,±0.1%,10ppm/°C,20µVp-p,-,12 V ~ 36 V,1mA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,5V,-,10mA,±0.1%,10ppm/°C,10µVp-p,-,7 V ~ 36 V,1mA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,2.5V,-,10mA,±0.2%,10ppm/°C,6µVp-p,-,4.5 V ~ 36 V,1mA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Programmable,0.5V* 1V,-,4mA,±0.35%,25ppm/°C,3µVp-p* 6µVp-p,-,2 V ~ 18 V,150µA,-,-40°C ~ 125°C (TA),Surface Mount,SOT-23-6 Thin* TSOT-23-6,TSOT-6
Series,Fixed,1.2V,-,10mA,±0.1%,8ppm/°C,8µVp-p,28µVrms,2.3 V ~ 5.5 V,100µA,-,-40°C ~ 125°C (TA),Surface Mount,SOT-23-6,SOT-23-6
Series,Fixed,3.3V,-,10mA,±0.1%,8ppm/°C,25µVp-p,46µVrms,3.5 V ~ 5.5 V,100µA,-,-40°C ~ 125°C (TA),Surface Mount,SOT-23-6,SOT-23-6
Series,Fixed,2.5V,-,5mA,±0.24%,25ppm/°C,8.25µVp-p,-,2.8 V ~ 15 V,190µA,-,-40°C ~ 125°C (TA),Surface Mount,SOT-23-5 Thin* TSOT-23-5,TSOT-5
Series,Fixed,2.5V,-,5mA,±0.24%,25ppm/°C,5µVp-p,-,2.8 V ~ 18 V,140µA,-,-40°C ~ 85°C (TA),Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
Series,Fixed,2.048V,-,5mA,±0.19%,9ppm/°C,5µVp-p,-,2.5 V ~ 15 V,140µA,-,-40°C ~ 125°C (TA),Surface Mount,SOT-23-5 Thin* TSOT-23-5,TSOT-5
Series,Fixed,2.5V,-,5mA,±0.16%,9ppm/°C,5µVp-p,-,2.8 V ~ 15 V,140µA,-,-40°C ~ 125°C (TA),Surface Mount,SOT-23-5 Thin* TSOT-23-5,TSOT-5
Series,Fixed,2.5V,-,10mA,±0.12%,10ppm/°C,1.75µVp-p,-,4.5 V ~ 18 V,600µA,-,-40°C ~ 125°C (TA),Surface Mount,"8-TSSOP* 8-MSOP (0.118""* 3.00mm Width)",8-MSOP
Series,Fixed,2.5V,-,10mA,±0.12%,10ppm/°C,1.75µVp-p,-,4.5 V ~ 18 V,600µA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,2.5V,-,10mA,±0.04%,3ppm/°C,1.75µVp-p,-,4.5 V ~ 18 V,600µA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,5V,-,10mA,±0.04%,3ppm/°C,3.4µVp-p,-,7 V ~ 18 V,600µA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,4.096V,-,30mA,±0.12%,10ppm/°C,6.25µVp-p,-,6.1 V ~ 18 V,800µA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,4.096V,-,30mA,±0.04%,3ppm/°C,6.25µVp-p,-,6.1 V ~ 18 V,800µA,-,-40°C ~ 125°C (TA),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Series,Fixed,5V,-,30mA,±0.04%,3ppm/°C,8µVp-p,-,7 V ~ 18 V,800µA,-,-40°C ~ 125°C (TA),Surface Mount,"8-TSSOP* 8-MSOP (0.118""* 3.00mm Width)",8-MSOP
